Ensembl ID	Codelink ID
ENSG00000004487	PH_hs_0023914
ENSG00000004534	GE54617
ENSG00000004534	PH_hs_0022903
ENSG00000004534	PH_hs_0045928
ENSG00000004660	GE79593
ENSG00000004660	PH_hs_0000898
ENSG00000004660	PH_hs_0044665
ENSG00000004700	GE81209
ENSG00000004700	PH_hs_0012812
ENSG00000004700	PH_hs_0047453
ENSG00000004766	GE55364
ENSG00000004766	GE776258
ENSG00000004766	PH_hs_0011912
ENSG00000004766	PH_hs_0023124
ENSG00000004766	PH_hs_0049255
ENSG00000004776	GE79355
ENSG00000004776	PH_hs_0016992
ENSG00000004777	GE83688
ENSG00000004777	GE85558
ENSG00000004777	PH_hs_0001812
ENSG00000004779	GE62078
ENSG00000004779	PH_hs_0000572
ENSG00000004799	GE59241
ENSG00000004799	GE86339
ENSG00000004799	PH_hs_0000890
ENSG00000004809	GE588351
ENSG00000004809	GE61371
ENSG00000004809	PH_hs_0011307
ENSG00000004838	GE59372
ENSG00000004838	GE59373
ENSG00000004838	PH_hs_0020639
ENSG00000004838	PH_hs_0029300
ENSG00000004846	GE491700
ENSG00000004846	GE557851
ENSG00000004846	GE581319
ENSG00000004846	GE783907
ENSG00000004846	PH_hs_0031198
ENSG00000004846	PH_hs_0045591
ENSG00000004846	PH_hs_0048962
ENSG00000004848	GE618414
ENSG00000004848	PH_hs_0009511
ENSG00000004864	GE61750
ENSG00000004864	PH_hs_0000990
ENSG00000004864	PH_hs_0043470
ENSG00000004866	GE55326
ENSG00000004866	GE86668
ENSG00000004866	PH_hs_0032154
ENSG00000004866	PH_hs_0044397
ENSG00000004897	GE80996
ENSG00000004897	GE87728
ENSG00000004897	PH_hs_0027441
ENSG00000004939	GE62780
ENSG00000004939	PH_hs_0025935
ENSG00000004948	GE80667
ENSG00000004948	PH_hs_0000072
ENSG00000004961	GE61751
ENSG00000004961	PH_hs_0012266
ENSG00000004961	PH_hs_0048675
ENSG00000004975	GE62651
ENSG00000004975	PH_hs_0031570
ENSG00000005001	GE80546
ENSG00000005001	PH_hs_0007104
ENSG00000005007	GE62804
ENSG00000005007	PH_hs_0024447
ENSG00000005020	GE54436
ENSG00000005020	PH_hs_0030091
ENSG00000005020	PH_hs_0049063
ENSG00000005022	GE57465
ENSG00000005022	PH_hs_0046490
ENSG00000005059	GE82249
ENSG00000005059	PH_hs_0012788
ENSG00000005073	GE79995
ENSG00000005073	GE86558
ENSG00000005073	PH_hs_0013211
ENSG00000005075	PH_hs_0012402
ENSG00000005075	PH_hs_0033159
ENSG00000005100	GE82507
ENSG00000005100	GE87141
ENSG00000005100	PH_hs_0004535
ENSG00000005100	PH_hs_0013253
ENSG00000005102	GE63375
ENSG00000005102	PH_hs_0000053
ENSG00000005108	GE53626
ENSG00000005108	GE87870
ENSG00000005108	PH_hs_0031083
ENSG00000005108	PH_hs_0049076
ENSG00000005156	GE60093
ENSG00000005156	GE81144
ENSG00000005156	PH_hs_0005604
ENSG00000005156	PH_hs_0044492
ENSG00000005175	GE82877
ENSG00000005175	GE86735
ENSG00000005175	PH_hs_0023803
ENSG00000005187	GE61941
ENSG00000005187	PH_hs_0026809
ENSG00000005187	PH_hs_0044593
ENSG00000005189	GE62602
ENSG00000005189	PH_hs_0032008
ENSG00000005194	GE88143
ENSG00000005194	PH_hs_0043242
ENSG00000005206	GE562054
ENSG00000005206	GE87053
ENSG00000005206	PH_hs_0028177
ENSG00000005238	GE88410
ENSG00000005238	PH_hs_0015558
ENSG00000005243	GE79046
ENSG00000005243	PH_hs_0002952
ENSG00000005249	GE57918
ENSG00000005249	PH_hs_0004464
ENSG00000005302	GE55623
ENSG00000005302	GE58425
ENSG00000005302	GE88656
ENSG00000005302	PH_hs_0024175
ENSG00000005339	GE63206
ENSG00000005339	PH_hs_0023345
ENSG00000005339	PH_hs_0048605
ENSG00000005379	GE53334
ENSG00000005379	PH_hs_0006168
ENSG00000005381	GE57856
ENSG00000005381	PH_hs_0026335
ENSG00000005421	GE60430
ENSG00000005421	PH_hs_0023442
ENSG00000005436	GE88601
ENSG00000005436	PH_hs_0022744
ENSG00000005436	PH_hs_0043228
ENSG00000005448	GE79349
ENSG00000005448	PH_hs_0016106
ENSG00000005469	GE54481
ENSG00000005469	PH_hs_0001211
ENSG00000005471	GE82449
ENSG00000005471	PH_hs_0004217
ENSG00000005471	PH_hs_0044699
ENSG00000005483	GE83330
ENSG00000005483	PH_hs_0024309
ENSG00000005483	PH_hs_0044294
ENSG00000005486	GE61603
ENSG00000005486	PH_hs_0000804
ENSG00000005513	GE79343
ENSG00000005513	PH_hs_0012996
ENSG00000005700	GE56290
ENSG00000005700	PH_hs_0015747
ENSG00000005801	GE61069
ENSG00000005801	PH_hs_0005789
ENSG00000005810	GE521485
ENSG00000005810	GE54696
ENSG00000005810	GE86466
ENSG00000005810	PH_hs_0009125
ENSG00000005812	GE54837
ENSG00000005812	GE858911
ENSG00000005844	GE560436
ENSG00000005844	GE62722
ENSG00000005844	PH_hs_0027281
ENSG00000005882	GE552475
ENSG00000005882	GE57775
ENSG00000005882	PH_hs_0005113
ENSG00000005884	GE63379
ENSG00000005889	GE542177
ENSG00000005889	GE59849
ENSG00000005889	PH_hs_0027538
ENSG00000005889	PH_hs_0035319
ENSG00000005893	GE61343
ENSG00000005893	GE79703
ENSG00000005893	PH_hs_0028005
ENSG00000005893	PH_hs_0048753
ENSG00000005955	GE62620
ENSG00000005955	PH_hs_0022653
ENSG00000005955	PH_hs_0039886
ENSG00000005961	GE80176
ENSG00000005961	PH_hs_0024867
ENSG00000005981	GE740874
ENSG00000005981	GE80489
ENSG00000005981	PH_hs_0019577
ENSG00000005981	PH_hs_0039309
ENSG00000006007	GE61111
ENSG00000006007	PH_hs_0005951
ENSG00000006007	PH_hs_0026769
ENSG00000006015	GE55640
ENSG00000006015	PH_hs_0002625
ENSG00000006016	GE54550
ENSG00000006016	PH_hs_0006308
ENSG00000006025	GE547509
ENSG00000006025	PH_hs_0014152
ENSG00000006042	GE56519
ENSG00000006042	PH_hs_0000414
ENSG00000006042	PH_hs_0043471
ENSG00000006047	GE79591
ENSG00000006047	PH_hs_0018534
ENSG00000006059	GE81354
ENSG00000006059	PH_hs_0034337
ENSG00000006062	GE60277
ENSG00000006062	PH_hs_0025776
ENSG00000006071	GE57802
ENSG00000006071	GE626356
ENSG00000006071	GE739435
ENSG00000006071	GE812294
ENSG00000006071	PH_hs_0003567
ENSG00000006074	GE60312
ENSG00000006074	GE893513
ENSG00000006074	PH_hs_0042292
ENSG00000006075	GE80360
ENSG00000006075	PH_hs_0028953
ENSG00000006075	PH_hs_0045666
ENSG00000006114	GE58446
ENSG00000006114	PH_hs_0024626
ENSG00000006114	PH_hs_0048804
ENSG00000006116	GE53987
ENSG00000006116	PH_hs_0000743
ENSG00000006118	GE55543
ENSG00000006118	GE880201
ENSG00000006118	PH_hs_0006532
ENSG00000006125	GE57939
ENSG00000006125	PH_hs_0024131
ENSG00000006128	GE59116
ENSG00000006128	PH_hs_0000343
ENSG00000006128	PH_hs_0030888
ENSG00000006194	GE61071
ENSG00000006194	PH_hs_0022375
ENSG00000006194	PH_hs_0031614
ENSG00000006210	GE59499
ENSG00000006210	PH_hs_0035471
ENSG00000006282	GE63263
ENSG00000006282	GE88173
ENSG00000006282	PH_hs_0005726
ENSG00000006282	PH_hs_0022784
ENSG00000006282	PH_hs_0031486
ENSG00000006283	GE80520
ENSG00000006283	PH_hs_0040198
ENSG00000006283	PH_hs_0044351
ENSG00000006327	GE53883
ENSG00000006327	GE564227
ENSG00000006327	PH_hs_0042293
ENSG00000006377	GE79558
ENSG00000006377	PH_hs_0013215
ENSG00000006432	GE62601
ENSG00000006432	PH_hs_0033407
ENSG00000006451	GE57911
ENSG00000006451	PH_hs_0043243
ENSG00000006453	GE82446
ENSG00000006453	GE87376
ENSG00000006453	PH_hs_0002063
ENSG00000006459	GE470816
ENSG00000006459	GE483836
ENSG00000006459	PH_hs_0007356
ENSG00000006459	PH_hs_0012489
ENSG00000006468	GE54667
ENSG00000006468	GE740425
ENSG00000006468	GE81460
ENSG00000006468	PH_hs_0035609
ENSG00000006468	PH_hs_0048792
ENSG00000006530	GE79633
ENSG00000006530	PH_hs_0043244
ENSG00000006534	GE58922
ENSG00000006534	PH_hs_0023369
ENSG00000006555	GE56177
ENSG00000006555	GE82245
ENSG00000006555	GE87140
ENSG00000006555	PH_hs_0001499
ENSG00000006555	PH_hs_0010410
ENSG00000006555	PH_hs_0038225
ENSG00000006576	GE53997
ENSG00000006576	PH_hs_0007455
ENSG00000006606	GE53242
ENSG00000006606	PH_hs_0031719
ENSG00000006607	GE53493
ENSG00000006607	PH_hs_0015530
ENSG00000006611	GE53144
ENSG00000006611	PH_hs_0023496
ENSG00000006625	GE79563
ENSG00000006625	PH_hs_0026002
ENSG00000006625	PH_hs_0036037
ENSG00000006634	GE53690
ENSG00000006634	PH_hs_0009189
ENSG00000006638	GE57183
ENSG00000006638	PH_hs_0030285
ENSG00000006638	PH_hs_0044929
ENSG00000006652	GE81039
ENSG00000006652	GE867465
ENSG00000006652	PH_hs_0027066
ENSG00000006659	GE82497
ENSG00000006659	PH_hs_0002138
ENSG00000006659	PH_hs_0031089
ENSG00000006695	GE60543
ENSG00000006695	GE749886
ENSG00000006695	PH_hs_0004469
ENSG00000006704	GE54753
ENSG00000006704	PH_hs_0025218
ENSG00000006704	PH_hs_0043472
ENSG00000006712	GE55976
ENSG00000006712	PH_hs_0009194
ENSG00000006715	GE562426
ENSG00000006715	GE81925
ENSG00000006715	GE85321
ENSG00000006715	PH_hs_0024959
ENSG00000006740	GE53379
ENSG00000006740	PH_hs_0034005
ENSG00000006744	GE55775
ENSG00000006744	PH_hs_0001142
ENSG00000006747	GE62004
ENSG00000006747	PH_hs_0028228
ENSG00000006756	GE58451
ENSG00000006756	PH_hs_0028201
ENSG00000006756	PH_hs_0045022
ENSG00000006756	PH_hs_0047740
ENSG00000006757	GE573025
ENSG00000006757	PH_hs_0000034
ENSG00000006788	GE497600
ENSG00000006788	PH_hs_0014281
ENSG00000006831	GE82858
ENSG00000006831	GE86660
ENSG00000006831	PH_hs_0016487
ENSG00000006837	GE54840
ENSG00000006837	PH_hs_0022272
ENSG00000007001	GE562349
ENSG00000007001	PH_hs_0007429
ENSG00000007038	GE53765
ENSG00000007038	PH_hs_0004160
ENSG00000007047	GE61793
ENSG00000007047	PH_hs_0006557
ENSG00000007062	GE54213
ENSG00000007062	PH_hs_0005472
ENSG00000007062	PH_hs_0027407
ENSG00000007080	PH_hs_0005596
ENSG00000007129	GE87547
ENSG00000007129	PH_hs_0034670
ENSG00000007129	PH_hs_0043473
ENSG00000007168	GE58220
ENSG00000007168	GE836930
ENSG00000007168	PH_hs_0004456
ENSG00000007171	GE61880
ENSG00000007171	PH_hs_0027962
ENSG00000007174	GE53079
ENSG00000007174	PH_hs_0024784
ENSG00000007202	GE57217
ENSG00000007202	PH_hs_0009144
ENSG00000007216	GE59034
ENSG00000007216	PH_hs_0005672
ENSG00000007216	PH_hs_0044240
ENSG00000007237	GE62584
ENSG00000007237	GE81312
ENSG00000007237	PH_hs_0012630
ENSG00000007255	GE87566
ENSG00000007255	PH_hs_0018784
ENSG00000007255	PH_hs_0033080
ENSG00000007264	GE88095
ENSG00000007264	PH_hs_0025640
ENSG00000007306	GE54005
ENSG00000007306	PH_hs_0004248
ENSG00000007312	GE62146
ENSG00000007312	PH_hs_0004999
ENSG00000007314	GE63372
ENSG00000007314	PH_hs_0003277
ENSG00000007341	GE512231
ENSG00000007341	GE571928
ENSG00000007341	GE82216
ENSG00000007341	PH_hs_0030686
ENSG00000007341	PH_hs_0045023
ENSG00000007350	GE58476
ENSG00000007350	PH_hs_0005702
ENSG00000007372	GE58257
ENSG00000007372	PH_hs_0004989
ENSG00000007372	PH_hs_0047541
ENSG00000007376	GE56075
ENSG00000007376	PH_hs_0005654
ENSG00000007384	GE82689
ENSG00000007384	PH_hs_0003726
ENSG00000007392	GE61008
ENSG00000007392	PH_hs_0001544
ENSG00000007402	GE54350
ENSG00000007402	PH_hs_0024498
ENSG00000007402	PH_hs_0033088
ENSG00000007516	GE58317
ENSG00000007516	PH_hs_0026383
ENSG00000007516	PH_hs_0043229
ENSG00000007520	GE86550
ENSG00000007520	PH_hs_0042294
ENSG00000007541	GE60458
ENSG00000007541	PH_hs_0001625
ENSG00000007545	GE53962
ENSG00000007545	GE56074
ENSG00000007545	GE777628
ENSG00000007545	PH_hs_0026007
ENSG00000007545	PH_hs_0040631
ENSG00000007866	GE81246
ENSG00000007866	PH_hs_0011975
ENSG00000007866	PH_hs_0017602
ENSG00000007908	GE56057
ENSG00000007908	PH_hs_0004995
ENSG00000007923	GE62281
ENSG00000007923	PH_hs_0013625
ENSG00000007923	PH_hs_0033957
ENSG00000007933	GE58109
ENSG00000007933	PH_hs_0031359
ENSG00000007944	GE62520
ENSG00000007944	PH_hs_0025924
ENSG00000007952	GE58433
ENSG00000007952	PH_hs_0007906
ENSG00000007968	GE574933
ENSG00000007968	PH_hs_0012692
ENSG00000008018	GE79695
ENSG00000008018	PH_hs_0023954
ENSG00000008018	PH_hs_0042240
ENSG00000008056	GE60549
ENSG00000008056	GE80390
ENSG00000008056	PH_hs_0035705
ENSG00000008056	PH_hs_0047894
ENSG00000008083	GE56056
ENSG00000008083	GE852247
ENSG00000008083	PH_hs_0003026
ENSG00000008086	GE60320
ENSG00000008086	PH_hs_0003517
ENSG00000008118	GE79067
ENSG00000008118	PH_hs_0011699
ENSG00000008128	GE81068
ENSG00000008128	PH_hs_0029397
ENSG00000008128	PH_hs_0032090
ENSG00000008130	GE54662
ENSG00000008130	GE726629
ENSG00000008130	PH_hs_0027994
ENSG00000008196	GE60178
ENSG00000008196	PH_hs_0002784
ENSG00000008196	PH_hs_0047313
ENSG00000008197	GE520405
ENSG00000008197	PH_hs_0020167
ENSG00000008226	GE62341
ENSG00000008226	PH_hs_0023394
ENSG00000008256	GE79074
ENSG00000008256	PH_hs_0000840
ENSG00000008277	GE597704
ENSG00000008277	GE80047
ENSG00000008277	PH_hs_0023280
ENSG00000008277	PH_hs_0044345
ENSG00000008282	GE59943
ENSG00000008282	PH_hs_0004649
ENSG00000008282	PH_hs_0031360
ENSG00000008283	GE81086
ENSG00000008283	PH_hs_0017204
ENSG00000008294	GE81338
ENSG00000008294	GE86976
ENSG00000008294	PH_hs_0026535
ENSG00000008294	PH_hs_0047415
ENSG00000008300	GE54994
ENSG00000008300	PH_hs_0003621
ENSG00000008311	GE62673
ENSG00000008323	GE55819
ENSG00000008323	PH_hs_0009914
ENSG00000008324	GE82103
ENSG00000008324	GE86280
ENSG00000008324	PH_hs_0001011
ENSG00000008382	GE86966
ENSG00000008382	PH_hs_0023796
ENSG00000008394	GE80049
ENSG00000008394	PH_hs_0033090
ENSG00000008405	GE57335
ENSG00000008405	PH_hs_0009136
ENSG00000008438	GE54697
ENSG00000008438	PH_hs_0008308
ENSG00000008441	GE560628
ENSG00000008441	GE703894
ENSG00000008441	PH_hs_0002882
ENSG00000008513	GE57639
ENSG00000008513	GE608909
ENSG00000008513	PH_hs_0039500
ENSG00000008516	GE82698
ENSG00000008516	PH_hs_0023522
ENSG00000008516	PH_hs_0034665
ENSG00000008517	GE61110
ENSG00000008517	PH_hs_0000122
ENSG00000008710	GE57722
ENSG00000008710	PH_hs_0004374
ENSG00000008710	PH_hs_0044988
ENSG00000008735	GE58483
ENSG00000008735	GE84669
ENSG00000008735	PH_hs_0017290
ENSG00000008838	GE57256
ENSG00000008838	PH_hs_0002027
ENSG00000008853	GE81993
ENSG00000008853	PH_hs_0024217
ENSG00000008869	GE53957
ENSG00000008869	PH_hs_0005125
ENSG00000008952	GE513827
ENSG00000008952	GE61241
ENSG00000008952	GE79382
ENSG00000008952	PH_hs_0014628
ENSG00000008952	PH_hs_0022729
ENSG00000008988	PH_hs_0037754
ENSG00000008988	PH_hs_0045484
ENSG00000009307	GE81730
ENSG00000009307	PH_hs_0004114
ENSG00000009307	PH_hs_0040705
ENSG00000009335	GE57066
ENSG00000009335	PH_hs_0009355
ENSG00000009413	GE54710
ENSG00000009413	PH_hs_0023158
ENSG00000009694	GE56065
ENSG00000009694	GE80554
ENSG00000009694	PH_hs_0016846
ENSG00000009694	PH_hs_0040688
ENSG00000009709	GE567102
ENSG00000009709	GE605793
ENSG00000009709	PH_hs_0006235
ENSG00000009709	PH_hs_0018310
ENSG00000009724	GE81659
ENSG00000009724	PH_hs_0006621
ENSG00000009724	PH_hs_0044642
ENSG00000009765	GE551169
ENSG00000009765	PH_hs_0032621
ENSG00000009780	PH_hs_0022221
ENSG00000009780	PH_hs_0047685
ENSG00000009790	GE83134
ENSG00000009790	PH_hs_0022629
ENSG00000009790	PH_hs_0031830
ENSG00000009830	GE62413
ENSG00000009830	PH_hs_0007985
ENSG00000009844	GE88509
ENSG00000009844	PH_hs_0013708
ENSG00000009950	GE58635
ENSG00000009950	PH_hs_0014781
ENSG00000009954	GE82741
ENSG00000009954	PH_hs_0011501
ENSG00000010017	GE54592
ENSG00000010017	GE86683
ENSG00000010017	PH_hs_0031509
ENSG00000010030	GE63118
ENSG00000010030	PH_hs_0014071
ENSG00000010072	GE56451
ENSG00000010072	GE83295
ENSG00000010072	PH_hs_0002114
ENSG00000010072	PH_hs_0040455
ENSG00000010165	GE56189
ENSG00000010165	GE84980
ENSG00000010165	PH_hs_0001712
ENSG00000010219	GE60264
ENSG00000010219	GE86303
ENSG00000010219	PH_hs_0025754
ENSG00000010244	GE475674
ENSG00000010244	GE54398
ENSG00000010244	GE771943
ENSG00000010244	GE823915
ENSG00000010244	GE85837
ENSG00000010244	GE87478
ENSG00000010244	PH_hs_0022225
ENSG00000010244	PH_hs_0043474
ENSG00000010256	GE57651
ENSG00000010256	PH_hs_0027224
ENSG00000010270	GE54008
ENSG00000010270	GE892012
ENSG00000010270	PH_hs_0001296
ENSG00000010278	GE79033
ENSG00000010278	PH_hs_0024428
ENSG00000010282	GE53811
ENSG00000010282	PH_hs_0002441
ENSG00000010292	GE57283
ENSG00000010292	PH_hs_0000579
ENSG00000010292	PH_hs_0043231
ENSG00000010295	GE527236
ENSG00000010295	GE55598
ENSG00000010295	PH_hs_0003307
ENSG00000010310	GE484454
ENSG00000010310	PH_hs_0013304
ENSG00000010318	GE56775
ENSG00000010318	PH_hs_0024218
ENSG00000010319	GE61474
ENSG00000010319	PH_hs_0003831
ENSG00000010322	GE55813
ENSG00000010322	PH_hs_0020406
ENSG00000010327	GE81989
ENSG00000010327	PH_hs_0015587
ENSG00000010361	GE83094
ENSG00000010361	PH_hs_0014998
ENSG00000010379	GE59404
ENSG00000010379	PH_hs_0007238
ENSG00000010404	GE54431
ENSG00000010404	GE62324
ENSG00000010404	GE678983
ENSG00000010404	GE681319
ENSG00000010404	GE84279
ENSG00000010404	PH_hs_0023621
ENSG00000010404	PH_hs_0045517
ENSG00000010438	GE81191
ENSG00000010438	PH_hs_0033374
ENSG00000010539	GE60317
ENSG00000010539	PH_hs_0029028
ENSG00000010610	GE61155
ENSG00000010610	GE84064
ENSG00000010610	PH_hs_0001579
ENSG00000010626	GE59380
ENSG00000010626	PH_hs_0009375
ENSG00000010626	PH_hs_0009709
ENSG00000010671	GE61511
ENSG00000010671	GE63153
ENSG00000010671	PH_hs_0009711
ENSG00000010704	GE497653
ENSG00000010704	GE59270
ENSG00000010704	PH_hs_0023171
ENSG00000010803	GE58471
ENSG00000010803	PH_hs_0003685
ENSG00000010810	GE60454
ENSG00000010810	GE63079
ENSG00000010810	GE63320
ENSG00000010810	GE85586
ENSG00000010810	PH_hs_0024531
ENSG00000010810	PH_hs_0033096
ENSG00000010818	GE56070
ENSG00000010818	GE81673
ENSG00000010818	PH_hs_0004266
ENSG00000010932	GE58032
ENSG00000010932	PH_hs_0000191
ENSG00000011007	GE57782
ENSG00000011007	PH_hs_0043245
ENSG00000011009	GE54787
ENSG00000011009	PH_hs_0033232
ENSG00000011021	GE62379
ENSG00000011021	GE84305
ENSG00000011021	PH_hs_0028254
ENSG00000011021	PH_hs_0030766
ENSG00000011021	PH_hs_0044609
ENSG00000011028	GE53403
ENSG00000011028	PH_hs_0000806
ENSG00000011028	PH_hs_0035334
ENSG00000011052	GE61684
ENSG00000011052	PH_hs_0035541
ENSG00000011083	GE80194
ENSG00000011083	PH_hs_0012964
ENSG00000011105	GE54754
ENSG00000011105	GE62806
ENSG00000011105	PH_hs_0006012
ENSG00000011105	PH_hs_0007608
ENSG00000011114	GE55814
ENSG00000011114	PH_hs_0018444
ENSG00000011114	PH_hs_0040476
ENSG00000011114	PH_hs_0047473
ENSG00000011132	GE53587
ENSG00000011132	PH_hs_0001582
ENSG00000011143	GE55452
ENSG00000011143	PH_hs_0024770
ENSG00000011198	GE58646
ENSG00000011198	PH_hs_0001705
ENSG00000011201	GE558096
ENSG00000011201	GE58178
ENSG00000011201	PH_hs_0018548
ENSG00000011243	GE55840
ENSG00000011243	PH_hs_0031425
ENSG00000011258	GE56623
ENSG00000011258	GE857412
ENSG00000011258	GE895725
ENSG00000011258	PH_hs_0024111
ENSG00000011258	PH_hs_0044336
ENSG00000011260	GE58644
ENSG00000011260	PH_hs_0021078
ENSG00000011275	GE509397
ENSG00000011275	GE55652
ENSG00000011275	PH_hs_0022436
ENSG00000011295	GE583915
ENSG00000011295	GE82224
ENSG00000011295	PH_hs_0031982
ENSG00000011304	GE59935
ENSG00000011304	GE87923
ENSG00000011304	PH_hs_0010319
ENSG00000011332	GE80433
ENSG00000011332	PH_hs_0024490
ENSG00000011347	GE79434
ENSG00000011347	PH_hs_0002437
ENSG00000011376	GE57116
ENSG00000011376	PH_hs_0025666
ENSG00000011405	GE56221
ENSG00000011405	GE81171
ENSG00000011405	PH_hs_0013220
ENSG00000011405	PH_hs_0047990
ENSG00000011422	GE80529
ENSG00000011422	PH_hs_0032020
ENSG00000011422	PH_hs_0044741
ENSG00000011422	PH_hs_0045024
ENSG00000011426	GE55803
ENSG00000011426	PH_hs_0003937
ENSG00000011451	GE86249
ENSG00000011451	PH_hs_0030284
ENSG00000011454	GE55202
ENSG00000011454	GE80619
ENSG00000011454	PH_hs_0003618
ENSG00000011454	PH_hs_0032007
ENSG00000011465	GE61148
ENSG00000011465	PH_hs_0022710
ENSG00000011465	PH_hs_0044591
ENSG00000011478	GE82199
ENSG00000011478	PH_hs_0018862
ENSG00000011485	GE60120
ENSG00000011485	PH_hs_0025229
ENSG00000011523	GE81990
ENSG00000011523	PH_hs_0008688
ENSG00000011523	PH_hs_0038405
ENSG00000011523	PH_hs_0047501
ENSG00000011566	GE62759
ENSG00000011566	PH_hs_0019037
ENSG00000011590	GE58587
ENSG00000011590	PH_hs_0005544
ENSG00000011600	GE54154
