Ensembl ID	shares_CDS_and_UTR_with_OTTT ID
ENSG00000003436	OTTHUMT00000255881
ENSG00000003436	OTTHUMT00000334643
ENSG00000003509	OTTHUMT00000250267
ENSG00000003509	OTTHUMT00000325558
ENSG00000003756	OTTHUMT00000345797
ENSG00000003987	OTTHUMT00000375311
ENSG00000003989	OTTHUMT00000375242
ENSG00000004059	OTTHUMT00000059567
ENSG00000004139	OTTHUMT00000255679
ENSG00000004399	OTTHUMT00000356132
ENSG00000004455	OTTHUMT00000011883
ENSG00000004455	OTTHUMT00000011884
ENSG00000004468	OTTHUMT00000250322
ENSG00000004478	OTTHUMT00000206861
ENSG00000004487	OTTHUMT00000008880
ENSG00000004487	OTTHUMT00000008881
ENSG00000004534	OTTHUMT00000345528
ENSG00000004534	OTTHUMT00000345533
ENSG00000004534	OTTHUMT00000345551
ENSG00000004660	OTTHUMT00000207455
ENSG00000004660	OTTHUMT00000207456
ENSG00000004700	OTTHUMT00000402371
ENSG00000004700	OTTHUMT00000402372
ENSG00000004766	OTTHUMT00000254652
ENSG00000004766	OTTHUMT00000341687
ENSG00000004776	OTTHUMT00000109498
ENSG00000004779	OTTHUMT00000214058
ENSG00000004799	OTTHUMT00000333298
ENSG00000004809	OTTHUMT00000043428
ENSG00000004838	OTTHUMT00000346376
ENSG00000004838	OTTHUMT00000346377
ENSG00000004846	OTTHUMT00000211603
ENSG00000004846	OTTHUMT00000326470
ENSG00000004846	OTTHUMT00000326471
ENSG00000004846	OTTHUMT00000326736
ENSG00000004848	OTTHUMT00000056109
ENSG00000004864	OTTHUMT00000059395
ENSG00000004866	OTTHUMT00000060209
ENSG00000004866	OTTHUMT00000141622
ENSG00000004866	OTTHUMT00000141625
ENSG00000004866	OTTHUMT00000141626
ENSG00000004866	OTTHUMT00000141635
ENSG00000004897	OTTHUMT00000389742
ENSG00000004897	OTTHUMT00000389743
ENSG00000004897	OTTHUMT00000389745
ENSG00000004897	OTTHUMT00000389748
ENSG00000004939	OTTHUMT00000346194
ENSG00000004948	ENST00000360249
ENSG00000004948	OTTHUMT00000254661
ENSG00000004948	OTTHUMT00000341741
ENSG00000004948	OTTHUMT00000341742
ENSG00000004948	OTTHUMT00000341744
ENSG00000004961	OTTHUMT00000055743
ENSG00000004975	OTTHUMT00000219999
ENSG00000005001	OTTHUMT00000250943
ENSG00000005020	OTTHUMT00000214128
ENSG00000005022	OTTHUMT00000058952
ENSG00000005059	OTTHUMT00000254865
ENSG00000005073	OTTHUMT00000358754
ENSG00000005075	OTTHUMT00000317913
ENSG00000005100	OTTHUMT00000219826
ENSG00000005108	OTTHUMT00000325944
ENSG00000005156	OTTHUMT00000250330
ENSG00000005156	OTTHUMT00000256455
ENSG00000005187	OTTHUMT00000254414
ENSG00000005189	OTTHUMT00000254418
ENSG00000005194	OTTHUMT00000257332
ENSG00000005238	OTTHUMT00000052262
ENSG00000005238	OTTHUMT00000052263
ENSG00000005238	OTTHUMT00000052265
ENSG00000005249	OTTHUMT00000268386
ENSG00000005302	OTTHUMT00000055749
ENSG00000005302	OTTHUMT00000055757
ENSG00000005302	OTTHUMT00000055758
ENSG00000005302	OTTHUMT00000354759
ENSG00000005339	OTTHUMT00000251591
ENSG00000005421	OTTHUMT00000332865
ENSG00000005436	OTTHUMT00000252255
ENSG00000005436	OTTHUMT00000328717
ENSG00000005448	OTTHUMT00000252213
ENSG00000005469	OTTHUMT00000253485
ENSG00000005469	OTTHUMT00000334713
ENSG00000005471	OTTHUMT00000336083
ENSG00000005483	OTTHUMT00000348697
ENSG00000005483	OTTHUMT00000348700
ENSG00000005486	OTTHUMT00000344176
ENSG00000005513	OTTHUMT00000242867
ENSG00000005700	OTTHUMT00000041337
ENSG00000005700	OTTHUMT00000366161
ENSG00000005801	OTTHUMT00000032321
ENSG00000005801	OTTHUMT00000032322
ENSG00000005801	OTTHUMT00000391583
ENSG00000005810	OTTHUMT00000045326
ENSG00000005812	OTTHUMT00000045312
ENSG00000005882	OTTHUMT00000366492
ENSG00000005882	OTTHUMT00000366494
ENSG00000005884	OTTHUMT00000366298
ENSG00000005889	OTTHUMT00000056085
ENSG00000005893	OTTHUMT00000058099
ENSG00000005893	OTTHUMT00000058100
ENSG00000005893	OTTHUMT00000058102
ENSG00000005955	OTTHUMT00000256684
ENSG00000005981	OTTHUMT00000333225
ENSG00000005981	OTTHUMT00000333226
ENSG00000006007	OTTHUMT00000254274
ENSG00000006042	OTTHUMT00000256372
ENSG00000006042	OTTHUMT00000256373
ENSG00000006059	OTTHUMT00000257295
ENSG00000006071	OTTHUMT00000389093
ENSG00000006074	OTTHUMT00000256583
ENSG00000006075	OTTHUMT00000256581
ENSG00000006114	OTTHUMT00000256811
ENSG00000006114	OTTHUMT00000256812
ENSG00000006114	OTTHUMT00000359433
ENSG00000006116	OTTHUMT00000254548
ENSG00000006118	OTTHUMT00000396352
ENSG00000006118	OTTHUMT00000396353
ENSG00000006128	OTTHUMT00000333696
ENSG00000006128	OTTHUMT00000333697
ENSG00000006128	OTTHUMT00000333698
ENSG00000006194	OTTHUMT00000251463
ENSG00000006210	OTTHUMT00000257345
ENSG00000006282	OTTHUMT00000367648
ENSG00000006282	OTTHUMT00000367651
ENSG00000006282	OTTHUMT00000367653
ENSG00000006283	OTTHUMT00000367768
ENSG00000006283	OTTHUMT00000367770
ENSG00000006283	OTTHUMT00000367893
ENSG00000006283	OTTHUMT00000367895
ENSG00000006283	OTTHUMT00000367902
ENSG00000006283	OTTHUMT00000367908
ENSG00000006283	OTTHUMT00000367935
ENSG00000006327	OTTHUMT00000250990
ENSG00000006377	OTTHUMT00000334373
ENSG00000006451	OTTHUMT00000250696
ENSG00000006453	OTTHUMT00000334681
ENSG00000006459	OTTHUMT00000348460
ENSG00000006468	OTTHUMT00000326111
ENSG00000006468	OTTHUMT00000326113
ENSG00000006468	OTTHUMT00000326115
ENSG00000006468	OTTHUMT00000326118
ENSG00000006530	OTTHUMT00000348969
ENSG00000006555	OTTHUMT00000027437
ENSG00000006555	OTTHUMT00000027438
ENSG00000006576	OTTHUMT00000340634
ENSG00000006576	OTTHUMT00000340636
ENSG00000006576	OTTHUMT00000340637
ENSG00000006576	OTTHUMT00000340639
ENSG00000006576	OTTHUMT00000344297
ENSG00000006606	OTTHUMT00000344900
ENSG00000006607	OTTHUMT00000323153
ENSG00000006607	OTTHUMT00000323154
ENSG00000006611	OTTHUMT00000389146
ENSG00000006611	OTTHUMT00000389147
ENSG00000006611	OTTHUMT00000389153
ENSG00000006625	OTTHUMT00000250447
ENSG00000006634	OTTHUMT00000253678
ENSG00000006634	OTTHUMT00000338034
ENSG00000006652	OTTHUMT00000338480
ENSG00000006695	OTTHUMT00000130003
ENSG00000006704	OTTHUMT00000252654
ENSG00000006704	OTTHUMT00000351533
ENSG00000006715	OTTHUMT00000226986
ENSG00000006715	OTTHUMT00000226987
ENSG00000006740	OTTHUMT00000129945
ENSG00000006744	OTTHUMT00000129934
ENSG00000006747	OTTHUMT00000326041
ENSG00000006747	OTTHUMT00000326042
ENSG00000006756	OTTHUMT00000055636
ENSG00000006756	OTTHUMT00000055637
ENSG00000006757	ENST00000444736
ENSG00000006757	OTTHUMT00000055687
ENSG00000006831	OTTHUMT00000252447
ENSG00000006837	OTTHUMT00000377693
ENSG00000006837	OTTHUMT00000377694
ENSG00000006837	OTTHUMT00000377697
ENSG00000006837	OTTHUMT00000377699
ENSG00000007001	OTTHUMT00000254929
ENSG00000007001	OTTHUMT00000332999
ENSG00000007038	OTTHUMT00000250910
ENSG00000007062	OTTHUMT00000359592
ENSG00000007062	OTTHUMT00000359594
ENSG00000007129	OTTHUMT00000321139
ENSG00000007129	OTTHUMT00000321140
ENSG00000007171	OTTHUMT00000255597
ENSG00000007174	OTTHUMT00000252756
ENSG00000007174	OTTHUMT00000252757
ENSG00000007216	OTTHUMT00000255722
ENSG00000007306	OTTHUMT00000321145
ENSG00000007341	OTTHUMT00000032504
ENSG00000007341	OTTHUMT00000032505
ENSG00000007341	OTTHUMT00000032506
ENSG00000007341	OTTHUMT00000032507
ENSG00000007350	OTTHUMT00000058923
ENSG00000007372	ENST00000419022
ENSG00000007372	OTTHUMT00000099286
ENSG00000007372	OTTHUMT00000099288
ENSG00000007376	OTTHUMT00000109063
ENSG00000007384	OTTHUMT00000134178
ENSG00000007392	OTTHUMT00000134237
ENSG00000007392	OTTHUMT00000134239
ENSG00000007402	OTTHUMT00000346453
ENSG00000007516	ENST00000397489
ENSG00000007516	OTTHUMT00000109056
ENSG00000007516	OTTHUMT00000250340
ENSG00000007520	OTTHUMT00000109057
ENSG00000007541	OTTHUMT00000109083
ENSG00000007541	OTTHUMT00000239270
ENSG00000007541	OTTHUMT00000333914
ENSG00000007545	OTTHUMT00000348224
ENSG00000007908	OTTHUMT00000084333
ENSG00000007923	OTTHUMT00000004216
ENSG00000007923	OTTHUMT00000004217
ENSG00000007933	ENST00000392085
ENSG00000007933	OTTHUMT00000086219
ENSG00000007944	OTTHUMT00000043864
ENSG00000007952	OTTHUMT00000057495
ENSG00000007952	OTTHUMT00000057497
ENSG00000007968	OTTHUMT00000008885
ENSG00000008018	OTTHUMT00000043278
ENSG00000008056	OTTHUMT00000056445
ENSG00000008056	OTTHUMT00000056446
ENSG00000008083	OTTHUMT00000039926
ENSG00000008086	OTTHUMT00000055945
ENSG00000008086	OTTHUMT00000055946
ENSG00000008118	OTTHUMT00000088526
ENSG00000008118	OTTHUMT00000088527
ENSG00000008128	ENST00000378630
ENSG00000008128	OTTHUMT00000001731
ENSG00000008128	OTTHUMT00000001734
ENSG00000008128	OTTHUMT00000001739
ENSG00000008130	ENST00000344463
ENSG00000008130	OTTHUMT00000002767
ENSG00000008130	OTTHUMT00000002768
ENSG00000008130	OTTHUMT00000002769
ENSG00000008196	OTTHUMT00000040886
ENSG00000008197	OTTHUMT00000040881
ENSG00000008226	OTTHUMT00000253745
ENSG00000008256	OTTHUMT00000207396
ENSG00000008277	OTTHUMT00000268368
ENSG00000008277	OTTHUMT00000268370
ENSG00000008277	OTTHUMT00000268371
ENSG00000008277	OTTHUMT00000338541
ENSG00000008282	OTTHUMT00000349221
ENSG00000008282	OTTHUMT00000349222
ENSG00000008294	OTTHUMT00000368543
ENSG00000008294	OTTHUMT00000368544
ENSG00000008294	OTTHUMT00000368549
ENSG00000008300	OTTHUMT00000257523
ENSG00000008311	OTTHUMT00000347298
ENSG00000008311	OTTHUMT00000347299
ENSG00000008323	OTTHUMT00000399028
ENSG00000008323	OTTHUMT00000399031
ENSG00000008323	OTTHUMT00000399032
ENSG00000008323	OTTHUMT00000399036
ENSG00000008394	ENST00000010404
ENSG00000008394	ENST00000396209
ENSG00000008394	OTTHUMT00000401181
ENSG00000008394	OTTHUMT00000401189
ENSG00000008513	ENST00000521180
ENSG00000008513	OTTHUMT00000379132
ENSG00000008517	ENST00000325568
ENSG00000008517	ENST00000396890
ENSG00000008517	OTTHUMT00000394811
ENSG00000008517	OTTHUMT00000394813
ENSG00000008517	OTTHUMT00000394816
ENSG00000008517	OTTHUMT00000394817
ENSG00000008517	OTTHUMT00000394818
ENSG00000008517	OTTHUMT00000394821
ENSG00000008517	OTTHUMT00000394822
ENSG00000008517	OTTHUMT00000394823
ENSG00000008517	OTTHUMT00000394827
ENSG00000008710	OTTHUMT00000341688
ENSG00000008710	OTTHUMT00000341689
ENSG00000008838	OTTHUMT00000257143
ENSG00000008838	OTTHUMT00000257147
ENSG00000008853	OTTHUMT00000215101
ENSG00000008853	OTTHUMT00000375197
ENSG00000008853	OTTHUMT00000375200
ENSG00000008869	OTTHUMT00000325492
ENSG00000008952	OTTHUMT00000352043
ENSG00000008952	OTTHUMT00000352044
ENSG00000008988	OTTHUMT00000378162
ENSG00000008988	OTTHUMT00000378163
ENSG00000009307	OTTHUMT00000033396
ENSG00000009307	OTTHUMT00000033397
ENSG00000009307	OTTHUMT00000033398
ENSG00000009307	OTTHUMT00000033399
ENSG00000009335	OTTHUMT00000348108
ENSG00000009335	OTTHUMT00000348109
ENSG00000009413	ENST00000358835
ENSG00000009413	OTTHUMT00000043691
ENSG00000009413	OTTHUMT00000043694
ENSG00000009413	OTTHUMT00000043695
ENSG00000009694	OTTHUMT00000058985
ENSG00000009709	OTTHUMT00000006928
ENSG00000009709	OTTHUMT00000372482
ENSG00000009709	OTTHUMT00000372483
ENSG00000009724	OTTHUMT00000006072
ENSG00000009724	OTTHUMT00000006073
ENSG00000009765	OTTHUMT00000043754
ENSG00000009765	OTTHUMT00000396980
ENSG00000009765	OTTHUMT00000396982
ENSG00000009780	OTTHUMT00000010514
ENSG00000009780	OTTHUMT00000010515
ENSG00000009780	OTTHUMT00000010516
ENSG00000009780	OTTHUMT00000010517
ENSG00000009780	OTTHUMT00000393242
ENSG00000009790	OTTHUMT00000088733
ENSG00000009844	OTTHUMT00000042483
ENSG00000009950	OTTHUMT00000252262
ENSG00000009950	OTTHUMT00000252263
ENSG00000009950	OTTHUMT00000347603
ENSG00000009950	OTTHUMT00000376609
ENSG00000009950	OTTHUMT00000376610
ENSG00000009954	OTTHUMT00000252123
ENSG00000010017	OTTHUMT00000042373
ENSG00000010030	OTTHUMT00000040341
ENSG00000010030	OTTHUMT00000040342
ENSG00000010072	OTTHUMT00000092858
ENSG00000010072	OTTHUMT00000092859
ENSG00000010165	OTTHUMT00000084528
ENSG00000010165	OTTHUMT00000084845
ENSG00000010165	OTTHUMT00000084846
ENSG00000010219	ENST00000010132
ENSG00000010219	OTTHUMT00000398783
ENSG00000010244	OTTHUMT00000256249
ENSG00000010244	OTTHUMT00000256251
ENSG00000010256	OTTHUMT00000257517
ENSG00000010270	OTTHUMT00000226929
ENSG00000010278	OTTHUMT00000103345
ENSG00000010282	OTTHUMT00000256648
ENSG00000010282	OTTHUMT00000343627
ENSG00000010292	OTTHUMT00000399964
ENSG00000010295	ENST00000396830
ENSG00000010295	OTTHUMT00000280427
ENSG00000010295	OTTHUMT00000280428
ENSG00000010318	OTTHUMT00000351155
ENSG00000010318	OTTHUMT00000351157
ENSG00000010319	OTTHUMT00000351354
ENSG00000010327	OTTHUMT00000351380
ENSG00000010361	OTTHUMT00000393982
ENSG00000010361	OTTHUMT00000393986
ENSG00000010379	OTTHUMT00000397801
ENSG00000010404	OTTHUMT00000058677
ENSG00000010404	OTTHUMT00000058680
ENSG00000010438	OTTHUMT00000052121
ENSG00000010438	OTTHUMT00000052122
ENSG00000010539	ENST00000414144
ENSG00000010539	ENST00000431561
ENSG00000010539	OTTHUMT00000251451
ENSG00000010539	OTTHUMT00000251452
ENSG00000010539	OTTHUMT00000251453
ENSG00000010610	OTTHUMT00000399978
ENSG00000010610	OTTHUMT00000399984
ENSG00000010626	OTTHUMT00000345214
ENSG00000010626	OTTHUMT00000345215
ENSG00000010626	OTTHUMT00000345216
ENSG00000010626	OTTHUMT00000345223
ENSG00000010671	OTTHUMT00000057532
ENSG00000010671	OTTHUMT00000057533
ENSG00000010704	OTTHUMT00000356133
ENSG00000010704	OTTHUMT00000356134
ENSG00000010704	OTTHUMT00000356135
ENSG00000010704	OTTHUMT00000356136
ENSG00000010704	OTTHUMT00000356137
ENSG00000010704	OTTHUMT00000356138
ENSG00000010704	OTTHUMT00000356142
ENSG00000010704	OTTHUMT00000356143
ENSG00000010803	OTTHUMT00000015655
ENSG00000010810	OTTHUMT00000043655
ENSG00000010810	OTTHUMT00000043656
ENSG00000010810	OTTHUMT00000378266
ENSG00000010932	OTTHUMT00000086210
ENSG00000010932	OTTHUMT00000086212
ENSG00000011007	OTTHUMT00000008230
ENSG00000011009	OTTHUMT00000008245
ENSG00000011021	OTTHUMT00000006639
ENSG00000011021	OTTHUMT00000006640
ENSG00000011021	OTTHUMT00000006641
ENSG00000011021	OTTHUMT00000006642
ENSG00000011021	OTTHUMT00000104811
ENSG00000011021	OTTHUMT00000104812
ENSG00000011021	OTTHUMT00000104813
ENSG00000011052	OTTHUMT00000268666
ENSG00000011083	OTTHUMT00000252325
ENSG00000011105	OTTHUMT00000317606
ENSG00000011143	OTTHUMT00000258015
ENSG00000011198	OTTHUMT00000256644
ENSG00000011201	OTTHUMT00000055692
ENSG00000011258	OTTHUMT00000318124
ENSG00000011260	OTTHUMT00000368654
ENSG00000011275	OTTHUMT00000340374
ENSG00000011275	OTTHUMT00000340376
ENSG00000011295	OTTHUMT00000131725
ENSG00000011332	ENST00000412732
ENSG00000011332	OTTHUMT00000347721
ENSG00000011332	OTTHUMT00000347725
ENSG00000011347	OTTHUMT00000398733
ENSG00000011376	OTTHUMT00000256884
ENSG00000011405	OTTHUMT00000387553
ENSG00000011426	OTTHUMT00000218582
ENSG00000011426	OTTHUMT00000337742
ENSG00000011454	OTTHUMT00000053976
ENSG00000011485	OTTHUMT00000258969
ENSG00000011523	OTTHUMT00000251727
ENSG00000011566	OTTHUMT00000219966
ENSG00000011566	OTTHUMT00000331774
ENSG00000011638	ENST00000261388
ENSG00000011638	OTTHUMT00000254421
ENSG00000011677	ENST00000370311
ENSG00000011677	OTTHUMT00000060921
ENSG00000011677	OTTHUMT00000060922
ENSG00000012048	OTTHUMT00000348798
ENSG00000012048	OTTHUMT00000348803
ENSG00000012048	OTTHUMT00000348804
ENSG00000012171	OTTHUMT00000346895
ENSG00000012174	OTTHUMT00000056026
ENSG00000012211	OTTHUMT00000060811
ENSG00000012223	OTTHUMT00000343951
ENSG00000012232	OTTHUMT00000219987
ENSG00000012660	ENST00000465983
ENSG00000012660	OTTHUMT00000043566
ENSG00000012660	OTTHUMT00000043567
ENSG00000012779	OTTHUMT00000047780
ENSG00000012817	OTTHUMT00000088790
ENSG00000012817	OTTHUMT00000088791
ENSG00000013016	OTTHUMT00000216810
ENSG00000013288	OTTHUMT00000359106
ENSG00000013293	OTTHUMT00000352598
ENSG00000013297	OTTHUMT00000352403
ENSG00000013297	OTTHUMT00000352444
ENSG00000013306	OTTHUMT00000255875
ENSG00000013364	ENST00000395353
ENSG00000013364	OTTHUMT00000109711
ENSG00000013374	OTTHUMT00000348594
ENSG00000013374	OTTHUMT00000348634
ENSG00000013375	OTTHUMT00000041349
ENSG00000013375	OTTHUMT00000366384
ENSG00000013392	OTTHUMT00000041348
ENSG00000013441	OTTHUMT00000256192
ENSG00000013441	OTTHUMT00000336140
ENSG00000013561	ENST00000394519
ENSG00000013561	OTTHUMT00000251860
ENSG00000013561	OTTHUMT00000251861
ENSG00000013563	ENST00000393638
ENSG00000013563	OTTHUMT00000080928
ENSG00000013563	OTTHUMT00000080930
ENSG00000013563	OTTHUMT00000081631
ENSG00000013573	ENST00000407793
ENSG00000013573	OTTHUMT00000399721
ENSG00000013573	OTTHUMT00000399728
ENSG00000013573	OTTHUMT00000399729
ENSG00000013583	OTTHUMT00000401001
ENSG00000013588	OTTHUMT00000400682
ENSG00000013619	OTTHUMT00000403341
ENSG00000013725	OTTHUMT00000396449
ENSG00000013725	OTTHUMT00000396457
ENSG00000013725	OTTHUMT00000396458
ENSG00000013810	OTTHUMT00000203730
ENSG00000014123	OTTHUMT00000041557
ENSG00000014138	OTTHUMT00000387223
ENSG00000014164	OTTHUMT00000382011
ENSG00000014216	OTTHUMT00000385306
ENSG00000014216	OTTHUMT00000385314
ENSG00000014257	OTTHUMT00000356699
ENSG00000014257	OTTHUMT00000356700
ENSG00000014257	OTTHUMT00000356701
ENSG00000014641	OTTHUMT00000251687
ENSG00000014824	OTTHUMT00000216842
ENSG00000014914	OTTHUMT00000033751
ENSG00000014919	OTTHUMT00000049818
ENSG00000014919	OTTHUMT00000049819
ENSG00000015171	ENST00000397962
ENSG00000015171	OTTHUMT00000046382
ENSG00000015285	OTTHUMT00000083379
ENSG00000015475	OTTHUMT00000316178
ENSG00000015475	OTTHUMT00000316179
ENSG00000015475	OTTHUMT00000316180
ENSG00000015479	OTTHUMT00000251324
ENSG00000015479	OTTHUMT00000373015
ENSG00000015479	OTTHUMT00000373019
ENSG00000015520	OTTHUMT00000251256
ENSG00000015520	OTTHUMT00000339389
ENSG00000015520	OTTHUMT00000339390
ENSG00000015532	OTTHUMT00000367046
ENSG00000015532	OTTHUMT00000367047
ENSG00000015532	OTTHUMT00000367048
ENSG00000015568	OTTHUMT00000253599
ENSG00000015592	OTTHUMT00000216932
ENSG00000015592	OTTHUMT00000375940
ENSG00000015592	OTTHUMT00000375942
ENSG00000015676	OTTHUMT00000251248
ENSG00000016082	OTTHUMT00000368413
ENSG00000016082	OTTHUMT00000368414
ENSG00000016391	OTTHUMT00000350567
ENSG00000016402	OTTHUMT00000042393
ENSG00000016602	OTTHUMT00000028292
ENSG00000016864	ENST00000266014
ENSG00000016864	ENST00000478968
ENSG00000016864	OTTHUMT00000352065
ENSG00000016864	OTTHUMT00000352142
ENSG00000016864	OTTHUMT00000352144
ENSG00000017260	OTTHUMT00000356642
ENSG00000017260	OTTHUMT00000356644
ENSG00000017260	OTTHUMT00000356645
ENSG00000017260	OTTHUMT00000356651
ENSG00000017260	OTTHUMT00000356954
ENSG00000017427	OTTHUMT00000313854
ENSG00000017427	OTTHUMT00000313855
ENSG00000017427	OTTHUMT00000313857
ENSG00000017621	OTTHUMT00000083441
ENSG00000017621	OTTHUMT00000083442
ENSG00000017621	OTTHUMT00000378832
ENSG00000017797	ENST00000383432
ENSG00000017797	OTTHUMT00000254479
ENSG00000018189	OTTHUMT00000252161
ENSG00000018189	OTTHUMT00000252162
ENSG00000018189	OTTHUMT00000362589
ENSG00000018189	OTTHUMT00000362591
ENSG00000018280	OTTHUMT00000195076
ENSG00000018280	OTTHUMT00000338320
ENSG00000018408	OTTHUMT00000356498
ENSG00000018408	OTTHUMT00000356501
ENSG00000018510	OTTHUMT00000255730
ENSG00000018610	OTTHUMT00000058042
ENSG00000018625	OTTHUMT00000060642
ENSG00000018699	OTTHUMT00000325395
ENSG00000019102	OTTHUMT00000317785
ENSG00000019144	OTTHUMT00000389279
ENSG00000019144	OTTHUMT00000389291
ENSG00000019144	OTTHUMT00000389298
ENSG00000019144	OTTHUMT00000390085
ENSG00000019169	OTTHUMT00000254190
ENSG00000019186	OTTHUMT00000079769
ENSG00000019186	OTTHUMT00000259198
ENSG00000019485	OTTHUMT00000389930
ENSG00000019505	OTTHUMT00000390110
ENSG00000019582	OTTHUMT00000374176
ENSG00000019582	OTTHUMT00000374177
ENSG00000019582	OTTHUMT00000374178
ENSG00000019991	OTTHUMT00000253315
ENSG00000019991	OTTHUMT00000337133
ENSG00000019991	OTTHUMT00000337134
ENSG00000019991	OTTHUMT00000337135
ENSG00000019991	OTTHUMT00000337136
ENSG00000019995	OTTHUMT00000050898
ENSG00000020129	OTTHUMT00000131296
ENSG00000020129	OTTHUMT00000131297
ENSG00000020129	OTTHUMT00000131298
ENSG00000020181	OTTHUMT00000343331
ENSG00000020181	OTTHUMT00000343332
ENSG00000020256	OTTHUMT00000079742
ENSG00000020256	OTTHUMT00000079743
ENSG00000020256	OTTHUMT00000079744
ENSG00000020256	OTTHUMT00000079746
ENSG00000020256	OTTHUMT00000079749
ENSG00000020426	OTTHUMT00000276956
ENSG00000020633	OTTHUMT00000009284
ENSG00000020922	OTTHUMT00000396235
ENSG00000020922	OTTHUMT00000396237
ENSG00000021300	OTTHUMT00000397593
ENSG00000021300	OTTHUMT00000397594
ENSG00000021300	OTTHUMT00000397597
ENSG00000021300	OTTHUMT00000397610
ENSG00000021355	OTTHUMT00000039637
ENSG00000021461	OTTHUMT00000344379
ENSG00000021461	OTTHUMT00000344381
ENSG00000021461	OTTHUMT00000344391
ENSG00000021461	OTTHUMT00000344468
ENSG00000021574	OTTHUMT00000250252
ENSG00000021574	OTTHUMT00000250253
ENSG00000021762	OTTHUMT00000032332
ENSG00000021762	OTTHUMT00000032333
ENSG00000021762	OTTHUMT00000383714
ENSG00000021826	OTTHUMT00000256569
ENSG00000021826	OTTHUMT00000336827
ENSG00000021826	OTTHUMT00000389617
ENSG00000021852	OTTHUMT00000022886
ENSG00000022267	ENST00000345434
ENSG00000022267	ENST00000394153
ENSG00000022267	OTTHUMT00000058460
ENSG00000022267	OTTHUMT00000058463
ENSG00000022277	OTTHUMT00000079817
ENSG00000022355	ENST00000420560
ENSG00000022355	ENST00000444819
ENSG00000022355	OTTHUMT00000252702
ENSG00000022355	OTTHUMT00000374400
ENSG00000022355	OTTHUMT00000374401
ENSG00000022355	OTTHUMT00000374402
ENSG00000022556	ENST00000339757
ENSG00000022556	ENST00000391721
ENSG00000022556	ENST00000448584
ENSG00000022556	OTTHUMT00000396152
ENSG00000022556	OTTHUMT00000396154
ENSG00000022556	OTTHUMT00000396155
