Ensembl ID	MEROPS ID
ENSG00000096088	A01.003
ENSG00000099139	S08.076
ENSG00000099219	M28.018
ENSG00000099937	I04.019
ENSG00000099953	M10.007
ENSG00000099998	T03.002
ENSG00000100031	T03.006
ENSG00000100221	C86.004
ENSG00000100312	S01.223
ENSG00000100439	S33.013
ENSG00000100448	S01.133
ENSG00000100450	S01.147
ENSG00000100453	S01.010
ENSG00000100567	T01.977
ENSG00000100600	C13.004
ENSG00000100665	I04.003
ENSG00000100767	I02.972
ENSG00000100804	T01.012
ENSG00000100902	T01.971
ENSG00000100985	M10.004
ENSG00000100997	S09.054
ENSG00000101079	S33.987
ENSG00000101160	C01.013
ENSG00000101182	T01.979
ENSG00000101197	I32.007
ENSG00000101294	A22.003
ENSG00000101439	I25.004
ENSG00000101441	I25.008
ENSG00000101446	I02.969
ENSG00000101448	I02.058
ENSG00000101557	C19.015
ENSG00000101844	C54.002
ENSG00000101966	I32.001
ENSG00000101966	I32.004
ENSG00000101981	S01.214
ENSG00000102109	I49.001
ENSG00000102174	M13.091
ENSG00000102226	C19.014
ENSG00000102265	I35.001
ENSG00000102910	S16.006
ENSG00000102996	M10.015
ENSG00000103023	S01.992
ENSG00000103035	M67.973
ENSG00000103194	C19.018
ENSG00000103269	S54.005
ENSG00000103326	C02.010
ENSG00000103355	S01.075
ENSG00000103404	C19.071
ENSG00000103642	S12.004
ENSG00000103811	C01.040
ENSG00000104324	M28.014
ENSG00000104368	S01.232
ENSG00000104419	S33.988
ENSG00000104755	M12.950
ENSG00000104763	C89.001
ENSG00000105131	S33.978
ENSG00000105141	C14.018
ENSG00000105707	S01.224
ENSG00000105819	M16.003
ENSG00000105825	I02.013
ENSG00000105825	I02.014
ENSG00000105825	I02.951
ENSG00000106066	S10.003
ENSG00000106077	S33.976
ENSG00000106144	C14.006
ENSG00000106327	M28.973
ENSG00000106346	C19.048
ENSG00000106366	I04.020
ENSG00000106484	S33.972
ENSG00000106588	T01.972
ENSG00000106624	M14.951
ENSG00000106804	I39.952
ENSG00000106927	I02.005
ENSG00000106927	I02.006
ENSG00000107362	S09.055
ENSG00000107618	S41.950
ENSG00000107618	S41.951
ENSG00000107742	I31.954
ENSG00000107959	M16.009
ENSG00000108039	M24.009
ENSG00000108294	T01.983
ENSG00000108578	C01.084
ENSG00000108582	M14.011
ENSG00000108582	M14.016
ENSG00000108582	M14.950
ENSG00000109189	C19.052
ENSG00000109472	M14.005
ENSG00000109625	M14.012
ENSG00000109758	S01.228
ENSG00000109775	C78.002
ENSG00000109861	C01.070
ENSG00000110330	I32.002
ENSG00000110713	S59.001
ENSG00000110799	I08.950
ENSG00000110799	I08.954
ENSG00000111142	M24.002
ENSG00000111144	M01.004
ENSG00000111452	S63.024
ENSG00000111667	C19.001
ENSG00000112414	S63.020
ENSG00000112701	C48.004
ENSG00000112812	S28.003
ENSG00000112818	M12.002
ENSG00000113088	S01.146
ENSG00000113441	M01.011
ENSG00000113657	M38.976
ENSG00000113889	I25.016
ENSG00000113889	I25.017
ENSG00000113889	I25.950
ENSG00000113905	I25.022
ENSG00000113905	I25.025
ENSG00000114200	S09.980
ENSG00000114204	I04.026
ENSG00000114270	I02.967
ENSG00000114316	C19.010
ENSG00000114374	C19.028
ENSG00000114771	S09.991
ENSG00000114779	S33.983
ENSG00000114786	M20.973
ENSG00000114948	M12.979
ENSG00000115233	M67.001
ENSG00000115257	S08.074
ENSG00000115317	S01.278
ENSG00000115457	I31.953
ENSG00000115461	I31.952
ENSG00000115464	C19.067
ENSG00000115718	S01.218
ENSG00000115760	I32.006
ENSG00000115828	M28.974
ENSG00000116176	S01.028
ENSG00000116183	M43.005
ENSG00000116288	C56.002
ENSG00000116750	C12.005
ENSG00000117114	S63.012
ENSG00000117298	M13.002
ENSG00000117601	I04.018
ENSG00000117983	I08.953
ENSG00000117984	A01.009
ENSG00000118113	M10.002
ENSG00000118369	C19.059
ENSG00000118492	C02.972
ENSG00000118503	C64.003
ENSG00000118939	C12.003
ENSG00000119125	M38.981
ENSG00000119231	C48.008
ENSG00000119912	M16.002
ENSG00000119912	M16.982
ENSG00000119912	M16.984
ENSG00000120054	M14.004
ENSG00000120915	S33.973
ENSG00000121022	M67.002
ENSG00000121064	S10.013
ENSG00000121410	I43.950
ENSG00000121552	I25.001
ENSG00000121753	S63.032
ENSG00000121898	M14.953
ENSG00000121898	M14.954
ENSG00000122121	M24.005
ENSG00000122194	S01.233
ENSG00000122194	S01.999
ENSG00000122707	I01.037
ENSG00000122711	I01.970
ENSG00000122861	S01.231
ENSG00000123146	S63.002
ENSG00000123213	M03.002
ENSG00000123342	M10.021
ENSG00000123552	C19.064
ENSG00000123561	I04.955
ENSG00000123594	C86.002
ENSG00000123992	M18.002
ENSG00000124102	I17.002
ENSG00000124107	I17.001
ENSG00000124107	I17.950
ENSG00000124299	M24.007
ENSG00000124356	M67.006
ENSG00000124422	C19.035
ENSG00000124486	C19.017
ENSG00000124570	I04.011
ENSG00000125656	S14.003
ENSG00000125703	C54.004
ENSG00000125730	I39.950
ENSG00000125815	I25.027
ENSG00000125831	I25.027
ENSG00000125851	S08.073
ENSG00000125966	M10.023
ENSG00000126067	T01.984
ENSG00000126218	S01.216
ENSG00000126231	S01.979
ENSG00000126838	I39.003
ENSG00000127220	S33.011
ENSG00000127241	S01.132
ENSG00000127241	S01.198
ENSG00000127507	S63.001
ENSG00000127578	I02.033
ENSG00000127578	I02.953
ENSG00000127578	I17.951
ENSG00000128040	I01.012
ENSG00000128059	C44.001
ENSG00000128510	M14.017
ENSG00000128694	M22.004
ENSG00000129084	T01.976
ENSG00000129204	C19.009
ENSG00000129270	M10.030
ENSG00000129437	S01.029
ENSG00000129451	S01.246
ENSG00000129455	S01.244
ENSG00000129667	S54.953
ENSG00000129968	S09.052
ENSG00000130226	S09.973
ENSG00000130234	M02.006
ENSG00000130517	C15.010
ENSG00000130560	C19.M01
ENSG00000130734	C54.005
ENSG00000131067	T03.017
ENSG00000131187	S01.211
ENSG00000131355	S63.003
ENSG00000131375	C02.028
ENSG00000131400	A01.046
ENSG00000131459	C44.972
ENSG00000131864	C19.040
ENSG00000131969	S09.061
ENSG00000132386	I04.979
ENSG00000132906	C14.010
ENSG00000133313	M20.005
ENSG00000133475	T03.015
ENSG00000133710	I01.013
ENSG00000133710	I01.028
ENSG00000133710	I01.029
ENSG00000133710	I01.030
ENSG00000133710	I01.032
ENSG00000133710	I01.044
ENSG00000133710	I01.950
ENSG00000133710	I01.951
ENSG00000133710	I01.953
ENSG00000133710	I01.954
ENSG00000133710	I01.955
ENSG00000133710	I01.957
ENSG00000133710	I01.958
ENSG00000133710	I01.959
ENSG00000133710	I01.960
ENSG00000134007	M12.218
ENSG00000134028	M12.219
ENSG00000134249	M12.232
ENSG00000134363	I01.966
ENSG00000134588	C19.046
ENSG00000134900	S08.090
ENSG00000134917	M12.226
ENSG00000135047	C01.032
ENSG00000135047	I29.001
ENSG00000135049	M14.028
ENSG00000135074	M12.214
ENSG00000135093	C19.060
ENSG00000135298	S63.030
ENSG00000135473	C19.978
ENSG00000135476	C50.002
ENSG00000135655	C19.022
ENSG00000135678	M14.006
ENSG00000135744	I04.953
ENSG00000135773	C02.006
ENSG00000135913	C19.053
ENSG00000135919	I04.021
ENSG00000136014	C19.057
ENSG00000136193	C69.003
ENSG00000136378	M12.231
ENSG00000136758	M41.004
ENSG00000136878	C19.025
ENSG00000136930	T01.011
ENSG00000136943	C01.009
ENSG00000136943	I29.010
ENSG00000137225	C02.013
ENSG00000137251	C01.973
ENSG00000137274	S33.982
ENSG00000137509	S28.001
ENSG00000137563	C26.001
ENSG00000137571	I01.972
ENSG00000137648	S01.034
ENSG00000137673	M10.008
ENSG00000137674	M10.019
ENSG00000137675	M10.027
ENSG00000137745	M10.013
ENSG00000137747	S01.087
ENSG00000137752	C14.001
ENSG00000137757	C14.008
ENSG00000137845	M12.210
ENSG00000138078	S09.015
ENSG00000138134	M67.003
ENSG00000138316	M12.024
ENSG00000138468	C48.009
ENSG00000138592	C19.011
ENSG00000138600	A22.007
ENSG00000138744	C89.002
ENSG00000138792	M01.003
ENSG00000138794	C14.005
ENSG00000139178	S01.189
ENSG00000139344	M38.980
ENSG00000139549	C46.004
ENSG00000139610	S01.153
ENSG00000139684	S09.990
ENSG00000139826	S09.051
ENSG00000139985	M12.234
ENSG00000140093	I04.005
ENSG00000140455	C19.026
ENSG00000140470	M12.027
ENSG00000140479	S08.075
ENSG00000140564	S08.071
ENSG00000140612	S26.009
ENSG00000140740	M16.974
ENSG00000140873	M12.028
ENSG00000140943	S08.063
ENSG00000141086	S01.256
ENSG00000141096	M19.004
ENSG00000141279	M01.010
ENSG00000141295	C69.004
ENSG00000141314	S54.006
ENSG00000141385	M41.007
ENSG00000141434	M12.004
ENSG00000142002	S09.019
ENSG00000142192	I02.015
ENSG00000142303	M12.235
ENSG00000142327	M01.022
ENSG00000142330	C02.018
ENSG00000142507	T01.010
ENSG00000142515	S01.162
ENSG00000142606	M13.008
ENSG00000142615	S01.155
ENSG00000142789	S01.154
ENSG00000142892	C13.005
ENSG00000142910	C01.975
ENSG00000143106	T01.975
ENSG00000143126	S63.009
ENSG00000143258	C19.034
ENSG00000143387	C01.036
ENSG00000143387	I29.007
ENSG00000143537	M12.215
ENSG00000143801	A22.002
ENSG00000143819	S33.971
ENSG00000143839	A01.007
ENSG00000144306	C69.005
ENSG00000144339	I01.045
ENSG00000144339	I01.969
ENSG00000144410	M14.021
ENSG00000144468	S54.008
ENSG00000144820	S63.023
ENSG00000144827	S09.062
ENSG00000144959	S09.992
ENSG00000145192	I25.020
ENSG00000145192	I25.021
ENSG00000145194	M13.003
ENSG00000145244	S01.019
ENSG00000145390	C19.081
ENSG00000145536	M12.026
ENSG00000145649	S01.135
ENSG00000145808	M12.029
ENSG00000145879	I01.971
ENSG00000146250	S01.994
ENSG00000146281	M20.971
ENSG00000146674	I31.952
ENSG00000146678	I31.951
ENSG00000146856	M14.026
ENSG00000146938	S09.988
ENSG00000147003	M02.M01
ENSG00000147647	M38.973
ENSG00000147677	M67.971
ENSG00000148120	M01.028
ENSG00000148702	S01.033
ENSG00000148848	M12.212
ENSG00000148950	S26.002
ENSG00000149090	S01.998
ENSG00000149131	I04.024
ENSG00000149257	I04.035
ENSG00000149257	I04.036
ENSG00000149260	C02.011
ENSG00000149418	S01.302
ENSG00000149435	T03.016
ENSG00000149451	M12.244
ENSG00000149651	I02.975
ENSG00000149968	M10.005
ENSG00000150471	S63.014
ENSG00000150656	M20.006
ENSG00000150687	S01.309
ENSG00000151006	S01.374
ENSG00000151006	S01.375
ENSG00000151388	M12.237
ENSG00000151640	M38.977
ENSG00000151694	M12.217
ENSG00000151792	C01.035
ENSG00000152377	I31.006
ENSG00000152484	C19.020
ENSG00000152484	C19.062
ENSG00000152990	S63.021
ENSG00000153002	M14.003
ENSG00000153113	I27.001
ENSG00000153113	I27.002
ENSG00000153113	I27.003
ENSG00000153113	I27.004
ENSG00000153292	S63.025
ENSG00000153292	S63.029
ENSG00000153802	S01.047
ENSG00000154277	C12.001
ENSG00000154485	M10.026
ENSG00000154611	T01.974
ENSG00000154646	S01.156
ENSG00000154734	M12.222
ENSG00000154736	M12.225
ENSG00000154914	C19.976
ENSG00000155313	C19.041
ENSG00000156103	M10.016
ENSG00000156140	M12.220
ENSG00000156256	C19.021
ENSG00000156521	S01.286
ENSG00000156535	I39.006
ENSG00000156920	S63.017
ENSG00000157150	I35.004
ENSG00000157227	M10.014
ENSG00000157837	A22.005
ENSG00000157851	M38.978
ENSG00000158315	S54.002
ENSG00000158516	M14.002
ENSG00000158525	M14.020
ENSG00000158859	M12.221
ENSG00000158901	I02.971
ENSG00000159377	T01.987
ENSG00000159403	S01.192
ENSG00000159618	S63.019
ENSG00000159640	M02.001
ENSG00000159640	M02.004
ENSG00000160111	I39.006
ENSG00000160183	S01.079
ENSG00000160213	I25.003
ENSG00000160221	C56.975
ENSG00000160323	M12.241
ENSG00000160613	S08.077
ENSG00000161133	C19.070
ENSG00000161677	C86.005
ENSG00000161956	C48.003
ENSG00000162066	M38.979
ENSG00000162174	T02.002
ENSG00000162402	C19.047
ENSG00000162438	S01.157
ENSG00000162600	M48.017
ENSG00000162601	M67.005
ENSG00000162607	C19.019
ENSG00000162618	S63.016
ENSG00000162877	M20.002
ENSG00000162909	C02.002
ENSG00000162949	C02.020
ENSG00000163098	I32.008
ENSG00000163113	C64.001
ENSG00000163131	C01.034
ENSG00000163131	I29.004
ENSG00000163359	I02.968
ENSG00000163430	I01.967
ENSG00000163501	C46.003
ENSG00000163536	I04.025
ENSG00000163638	M12.021
ENSG00000163655	C26.950
ENSG00000163686	S33.977
ENSG00000163751	M14.010
ENSG00000163904	C48.007
ENSG00000163930	C12.004
ENSG00000163975	S60.973
ENSG00000163975	S60.976
ENSG00000164024	M24.001
ENSG00000164062	S09.004
ENSG00000164099	S01.237
ENSG00000164266	I01.011
ENSG00000164305	C14.003
ENSG00000164307	M01.018
ENSG00000164308	M01.024
ENSG00000164344	S01.212
ENSG00000164663	C19.073
ENSG00000164690	C46.002
ENSG00000164733	C01.060
ENSG00000165076	S01.989
ENSG00000165078	M14.018
ENSG00000165246	S09.989
ENSG00000165312	C85.004
ENSG00000165688	M16.971
ENSG00000165688	M16.985
ENSG00000165688	M16.P01
ENSG00000165806	C14.004
ENSG00000165923	M14.029
ENSG00000165953	I04.965
ENSG00000166033	S01.277
ENSG00000166106	M12.025
ENSG00000166145	I02.007
ENSG00000166145	I02.008
ENSG00000166192	C48.011
ENSG00000166278	S01.194
ENSG00000166340	S53.003
ENSG00000166348	C19.080
ENSG00000166396	I04.012
ENSG00000166401	I04.013
ENSG00000166473	T06.003
ENSG00000166535	I39.007
ENSG00000166562	S26.010
ENSG00000166634	I04.016
ENSG00000166670	M10.006
ENSG00000166682	S01.313
ENSG00000166825	M01.001
ENSG00000166896	M76.001
ENSG00000166922	I21.001
ENSG00000167261	M19.002
ENSG00000167346	M10.029
ENSG00000167642	I02.009
ENSG00000167642	I02.010
ENSG00000167711	I04.023
ENSG00000167741	T03.024
ENSG00000167748	S01.160
ENSG00000167749	S01.251
ENSG00000167751	S01.161
ENSG00000167754	S01.017
ENSG00000167755	S01.236
ENSG00000167757	S01.257
ENSG00000167759	S01.306
ENSG00000167770	C65.001
ENSG00000167779	I31.952
ENSG00000168060	M28.011
ENSG00000168090	M67.972
ENSG00000168397	C54.003
ENSG00000168487	M12.005
ENSG00000168594	M12.981
ENSG00000168615	M12.209
ENSG00000168619	M12.957
ENSG00000168703	I17.003
ENSG00000168843	I01.977
ENSG00000168883	C19.972
ENSG00000168928	S01.152
ENSG00000169035	S01.300
ENSG00000169174	S08.039
ENSG00000169495	S01.285
ENSG00000169760	S09.994
ENSG00000169914	C85.003
ENSG00000169918	C64.002
ENSG00000169992	S09.995
ENSG00000170054	I04.082
ENSG00000170099	I04.954
ENSG00000170185	C19.056
ENSG00000170242	C19.055
ENSG00000170367	I25.005
ENSG00000170369	I25.009
ENSG00000170373	I25.010
ENSG00000170515	M24.973
ENSG00000170542	I04.014
ENSG00000170801	S01.284
ENSG00000170832	C19.044
ENSG00000170835	S09.985
ENSG00000171147	S01.085
ENSG00000171551	M13.007
ENSG00000172009	M03.001
ENSG00000172031	S33.974
ENSG00000172046	C19.024
ENSG00000172175	C14.026
ENSG00000172232	S01.971
ENSG00000172236	S01.015
ENSG00000172236	S01.143
ENSG00000172382	S01.074
ENSG00000172543	C01.037
ENSG00000172831	S09.984
ENSG00000172878	M24.028
ENSG00000172901	M01.026
ENSG00000173157	M12.246
ENSG00000173402	S72.001
ENSG00000173531	S01.975
ENSG00000173567	S63.031
ENSG00000173653	M79.002
ENSG00000173698	S63.010
ENSG00000173714	I02.954
ENSG00000173714	I02.955
ENSG00000173714	I17.952
ENSG00000174080	C01.018
ENSG00000174562	S01.081
ENSG00000174640	I01.972
ENSG00000174837	S63.004
ENSG00000174945	M54.950
ENSG00000175073	C64.006
ENSG00000175193	S54.009
ENSG00000175315	I25.006
ENSG00000175390	M67.974
ENSG00000175426	S08.072
ENSG00000175497	S09.974
ENSG00000175899	I39.001
ENSG00000176040	S01.072
ENSG00000176125	C78.001
ENSG00000176393	M01.014
ENSG00000176463	I01.972
ENSG00000176978	S28.002
ENSG00000177225	C56.974
ENSG00000177595	S68.001
ENSG00000177595	S68.002
ENSG00000177694	M28.975
ENSG00000178055	S01.362
ENSG00000178172	I01.015
ENSG00000178226	S01.414
ENSG00000178226	S01.940
ENSG00000178226	S01.941
ENSG00000178297	S01.357
ENSG00000178297	S01.358
ENSG00000178297	S01.969
ENSG00000178921	C56.972
ENSG00000180210	S01.217
ENSG00000180264	S63.018
ENSG00000180667	C88.002
ENSG00000182240	A01.041
ENSG00000182326	S01.193
ENSG00000182472	C02.017
ENSG00000182752	M43.004
ENSG00000182885	S63.026
ENSG00000183077	S09.977
ENSG00000183378	S01.320
ENSG00000183569	S33.012
ENSG00000184012	S01.247
ENSG00000184647	S01.415
ENSG00000184761	S01.985
ENSG00000184903	S26.012
ENSG00000184979	C19.030
ENSG00000185294	A22.006
ENSG00000185515	M67.004
ENSG00000185621	M08.003
ENSG00000185873	S01.365
ENSG00000185888	S01.318
ENSG00000186318	A01.004
ENSG00000186431	I43.951
ENSG00000186452	S01.291
ENSG00000186474	S01.020
ENSG00000186652	I63.001
ENSG00000186715	S01.933
ENSG00000186910	I04.955
ENSG00000187045	S01.308
ENSG00000187054	S01.292
ENSG00000187555	C19.016
ENSG00000187950	S01.078
ENSG00000187950	S01.322
ENSG00000188086	S01.326
ENSG00000188488	I04.004
ENSG00000188886	M12.245
ENSG00000189099	S01.325
ENSG00000189409	M10.022
ENSG00000189409	M10.037
ENSG00000196104	I01.980
ENSG00000196104	I31.007
ENSG00000196136	I04.002
ENSG00000196188	A01.010
ENSG00000196236	M24.026
ENSG00000196338	S09.987
ENSG00000196365	S16.002
ENSG00000196415	S01.134
ENSG00000196549	M13.001
ENSG00000196611	M10.001
ENSG00000196704	M54.002
ENSG00000196800	I01.975
ENSG00000196954	C14.007
ENSG00000197140	M12.960
ENSG00000197249	I04.001
ENSG00000197540	S01.139
ENSG00000197561	S01.131
ENSG00000197632	I04.007
ENSG00000197635	S09.003
ENSG00000197641	I04.017
ENSG00000197766	S01.191
ENSG00000197912	M41.006
ENSG00000197993	M13.090
ENSG00000198092	S01.321
ENSG00000198380	C44.970
ENSG00000198598	M10.017
ENSG00000198670	S01.999
ENSG00000198848	S09.982
ENSG00000204364	S01.194
ENSG00000204427	S09.065
ENSG00000204909	I01.054
ENSG00000204983	S01.127
ENSG00000205220	T01.014
ENSG00000205336	S63.011
ENSG00000205403	S01.199
ENSG00000206073	I04.008
ENSG00000206073	I04.009
ENSG00000206075	I04.980
ENSG00000206372	S01.194
ENSG00000206403	S09.065
ENSG00000206549	S01.208
ENSG00000213022	S01.307
ENSG00000214517	S33.984
ENSG00000215018	I02.974
ENSG00000215440	M17.006
ENSG00000215704	S01.206
ENSG00000219073	S01.205
ENSG00000222028	T01.016
ENSG00000224552	S09.065
ENSG00000226560	S01.194
ENSG00000229183	A01.001
ENSG00000229183	A01.070
ENSG00000229183	A01.071
ENSG00000230034	T01.015
ENSG00000230475	S09.065
ENSG00000231488	S09.065
ENSG00000231543	S01.194
ENSG00000235017	S01.194
ENSG00000235676	S09.065
ENSG00000235696	S01.194
ENSG00000236063	S09.065
ENSG00000236625	I39.951
ENSG00000239754	S01.196
ENSG00000239836	T01.013
ENSG00000240065	T01.013
ENSG00000240118	T01.013
ENSG00000241534	S01.196
ENSG00000241697	I01.974
ENSG00000242335	S01.196
ENSG00000242550	I04.015
ENSG00000243067	T01.013
ENSG00000243570	S01.196
ENSG00000243594	T01.013
ENSG00000243649	S01.196
ENSG00000243989	M20.973
ENSG00000244617	A33.001
ENSG00000247746	C19.065
ENSG00000248169	I32.001
ENSG00000248487	S33.981
ENSG00000249437	I32.001
ENSG00000253309	I04.972
ENSG00000254986	M49.001
ENSG00000255820	M12.241
ENSG00000255904	M14.028
ENSG00000256043	C01.035
ENSG00000256270	M76.001
ENSG00000256646	T01.972
ENSG00000257017	S01.972
ENSG00000257017	S01.974
