Ensembl ID	RFAM_transcript_name ID
ENSG00000199335	U6.19-201
ENSG00000199348	U6.20-201
ENSG00000199349	Y_RNA.23-201
ENSG00000199350	5S_rRNA.8-201
ENSG00000199354	5S_rRNA.9-201
ENSG00000199357	Y_RNA.24-201
ENSG00000199360	U6.21-201
ENSG00000199361	U1.4-201
ENSG00000199362	Y_RNA.25-201
ENSG00000199363	SNORA63.1-201
ENSG00000199364	5S_rRNA.10-201
ENSG00000199366	Y_RNA.26-201
ENSG00000199368	U6.22-201
ENSG00000199370	U3.1-201
ENSG00000199373	5S_rRNA.11-201
ENSG00000199378	Y_RNA.27-201
ENSG00000199381	U6.23-201
ENSG00000199385	U6.24-201
ENSG00000199392	SNORA25.2-201
ENSG00000199394	U6.25-201
ENSG00000199395	5S_rRNA.12-201
ENSG00000199398	Y_RNA.28-201
ENSG00000199402	5S_rRNA.13-201
ENSG00000199404	5S_rRNA.14-201
ENSG00000199405	SNORA1.1-201
ENSG00000199407	5S_rRNA.15-201
ENSG00000199409	Y_RNA.29-201
ENSG00000199410	Y_RNA.30-201
ENSG00000199411	SNORD62.1-201
ENSG00000199415	5S_rRNA.16-201
ENSG00000199420	7SK.4-201
ENSG00000199424	Y_RNA.31-201
ENSG00000199426	U1.5-201
ENSG00000199432	Y_RNA.32-201
ENSG00000199438	5S_rRNA.17-201
ENSG00000199440	Y_RNA.33-201
ENSG00000199442	Y_RNA.34-201
ENSG00000199444	Y_RNA.35-201
ENSG00000199446	U6.26-201
ENSG00000199448	U6.27-201
ENSG00000199450	5S_rRNA.18-201
ENSG00000199452	SNORA71.1-201
ENSG00000199454	5S_rRNA.19-201
ENSG00000199455	5S_rRNA.20-201
ENSG00000199458	U4.3-201
ENSG00000199459	Y_RNA.36-201
ENSG00000199460	U6.28-201
ENSG00000199461	Y_RNA.37-201
ENSG00000199466	Y_RNA.38-201
ENSG00000199468	U6.29-201
ENSG00000199469	U1.6-201
ENSG00000199470	SNORA64.1-201
ENSG00000199471	Y_RNA.39-201
ENSG00000199472	Y_RNA.40-201
ENSG00000199473	SNORA63.2-201
ENSG00000199474	SNORA27.1-201
ENSG00000199475	7SK.5-201
ENSG00000199476	Y_RNA.41-201
ENSG00000199480	5S_rRNA.21-201
ENSG00000199482	U6.30-201
ENSG00000199483	U4.4-201
ENSG00000199487	Y_RNA.42-201
ENSG00000199488	U1.7-201
ENSG00000199490	Y_RNA.43-201
ENSG00000199492	U6.31-201
ENSG00000199497	U1.8-201
ENSG00000199506	U6.32-201
ENSG00000199508	5S_rRNA.22-201
ENSG00000199509	5S_rRNA.23-201
ENSG00000199512	U6.33-201
ENSG00000199514	U6.34-201
ENSG00000199515	Y_RNA.44-201
ENSG00000199516	Y_RNA.45-201
ENSG00000199520	U6.35-201
ENSG00000199523	5S_rRNA.24-201
ENSG00000199525	5S_rRNA.25-201
ENSG00000199529	U6.36-201
ENSG00000199530	Y_RNA.46-201
ENSG00000199535	5S_rRNA.26-201
ENSG00000199536	U6.37-201
ENSG00000199540	Y_RNA.47-201
ENSG00000199545	5S_rRNA.27-201
ENSG00000199546	Y_RNA.48-201
ENSG00000199550	Y_RNA.49-201
ENSG00000199551	U6.38-201
ENSG00000199552	SNORA63.3-201
ENSG00000199554	U1.9-201
ENSG00000199556	5S_rRNA.28-201
ENSG00000199562	U6.39-201
ENSG00000199564	5S_rRNA.29-201
ENSG00000199565	Y_RNA.50-201
ENSG00000199566	SNORA64.2-201
ENSG00000199567	Y_RNA.51-201
ENSG00000199570	U6.40-201
ENSG00000199571	SNORA22.1-201
ENSG00000199572	5S_rRNA.30-201
ENSG00000199577	U6.41-201
ENSG00000199580	Y_RNA.52-201
ENSG00000199584	Y_RNA.53-201
ENSG00000199585	5S_rRNA.31-201
ENSG00000199591	Y_RNA.54-201
ENSG00000199592	5S_rRNA.32-201
ENSG00000199594	U6.42-201
ENSG00000199595	Y_RNA.55-201
ENSG00000199598	U6.43-201
ENSG00000199601	U6.44-201
ENSG00000199603	U6.45-201
ENSG00000199605	Y_RNA.56-201
ENSG00000199609	5S_rRNA.33-201
ENSG00000199620	5S_rRNA.34-201
ENSG00000199622	7SK.6-201
ENSG00000199626	U6.46-201
ENSG00000199627	U6.47-201
ENSG00000199630	Y_RNA.57-201
ENSG00000199633	SNORA63.4-201
ENSG00000199634	U4.5-201
ENSG00000199635	Y_RNA.58-201
ENSG00000199636	Y_RNA.59-201
ENSG00000199638	5S_rRNA.35-201
ENSG00000199640	7SK.7-201
ENSG00000199641	Y_RNA.60-201
ENSG00000199643	U4.6-201
ENSG00000199645	U6.48-201
ENSG00000199646	U6.49-201
ENSG00000199652	U1.10-201
ENSG00000199654	5S_rRNA.36-201
ENSG00000199664	U6.50-201
ENSG00000199666	U3.2-201
ENSG00000199667	Y_RNA.61-201
ENSG00000199668	Y_RNA.62-201
ENSG00000199672	U4.7-201
ENSG00000199674	U6.51-201
ENSG00000199675	snoU2-30.1-201
ENSG00000199676	Y_RNA.63-201
ENSG00000199677	Y_RNA.64-201
ENSG00000199678	Y_RNA.65-201
ENSG00000199683	7SK.8-201
ENSG00000199687	U1.11-201
ENSG00000199691	7SK.9-201
ENSG00000199695	U6.52-201
ENSG00000199697	U6.53-201
ENSG00000199698	Y_RNA.66-201
ENSG00000199700	U6.54-201
ENSG00000199701	Y_RNA.67-201
ENSG00000199702	U6.55-201
ENSG00000199705	Y_RNA.68-201
ENSG00000199709	U4.8-201
ENSG00000199710	Y_RNA.69-201
ENSG00000199711	Y_RNA.70-201
ENSG00000199713	U8.1-201
ENSG00000199715	Y_RNA.71-201
ENSG00000199716	Y_RNA.72-201
ENSG00000199719	7SK.10-201
ENSG00000199727	U3.3-201
ENSG00000199728	U6.56-201
ENSG00000199730	7SK.11-201
ENSG00000199731	U6.57-201
ENSG00000199732	Y_RNA.73-201
ENSG00000199733	5S_rRNA.37-201
ENSG00000199735	U6.58-201
ENSG00000199739	U6.59-201
ENSG00000199740	Y_RNA.74-201
ENSG00000199751	Y_RNA.75-201
ENSG00000199755	Y_RNA.76-201
ENSG00000199756	Y_RNA.77-201
ENSG00000199762	Y_RNA.78-201
ENSG00000199764	Y_RNA.79-201
ENSG00000199765	U6.60-201
ENSG00000199767	U6.61-201
ENSG00000199769	U3.4-201
ENSG00000199771	5S_rRNA.38-201
ENSG00000199773	U1.12-201
ENSG00000199780	Y_RNA.80-201
ENSG00000199781	Y_RNA.81-201
ENSG00000199783	SNORD56.1-201
ENSG00000199784	U6.62-201
ENSG00000199786	5S_rRNA.39-201
ENSG00000199787	SNORA42.1-201
ENSG00000199788	Y_RNA.82-201
ENSG00000199789	U6.63-201
ENSG00000199790	U6.64-201
ENSG00000199791	U6.65-201
ENSG00000199792	U6.66-201
ENSG00000199796	U6.67-201
ENSG00000199797	Y_RNA.83-201
ENSG00000199801	Y_RNA.84-201
ENSG00000199803	U6.68-201
ENSG00000199804	5S_rRNA.40-201
ENSG00000199805	U1.13-201
ENSG00000199806	5S_rRNA.41-201
ENSG00000199809	5S_rRNA.42-201
ENSG00000199812	U6.69-201
ENSG00000199814	U6.70-201
ENSG00000199815	SNORA43.1-201
ENSG00000199824	U6.71-201
ENSG00000199827	U6.72-201
ENSG00000199831	7SK.12-201
ENSG00000199832	Y_RNA.85-201
ENSG00000199836	U1.14-201
ENSG00000199837	5S_rRNA.43-201
ENSG00000199839	5S_rRNA.44-201
ENSG00000199840	Y_RNA.86-201
ENSG00000199843	5S_rRNA.45-201
ENSG00000199845	5S_rRNA.46-201
ENSG00000199846	U1.15-201
ENSG00000199849	U5.1-201
ENSG00000199851	U3.5-201
ENSG00000199855	U6.73-201
ENSG00000199856	U3.6-201
ENSG00000199857	SNORD50.1-201
ENSG00000199858	U6.74-201
ENSG00000199859	U6.75-201
ENSG00000199862	Y_RNA.87-201
ENSG00000199865	U6.76-201
ENSG00000199866	Y_RNA.88-201
ENSG00000199867	Y_RNA.89-201
ENSG00000199870	Y_RNA.90-201
ENSG00000199872	U6.77-201
ENSG00000199874	5S_rRNA.47-201
ENSG00000199875	Y_RNA.91-201
ENSG00000199876	7SK.13-201
ENSG00000199878	7SK.14-201
ENSG00000199879	U1.16-201
ENSG00000199880	U6.78-201
ENSG00000199881	Y_RNA.92-201
ENSG00000199883	7SK.15-201
ENSG00000199884	Y_RNA.93-201
ENSG00000199885	U6.79-201
ENSG00000199886	U6.80-201
ENSG00000199890	Y_RNA.94-201
ENSG00000199892	U1.17-201
ENSG00000199893	5S_rRNA.48-201
ENSG00000199894	snoU2_19.2-201
ENSG00000199895	Y_RNA.95-201
ENSG00000199899	Y_RNA.96-201
ENSG00000199900	5S_rRNA.49-201
ENSG00000199901	Y_RNA.97-201
ENSG00000199903	U6.81-201
ENSG00000199905	U6.82-201
ENSG00000199911	Y_RNA.98-201
ENSG00000199912	Y_RNA.99-201
ENSG00000199913	Y_RNA.100-201
ENSG00000199920	U4.9-201
ENSG00000199921	U6.83-201
ENSG00000199924	U6.84-201
ENSG00000199927	U3.7-201
ENSG00000199929	5S_rRNA.50-201
ENSG00000199932	U1.18-201
ENSG00000199933	Y_RNA.101-201
ENSG00000199934	SNORD81.1-201
ENSG00000199936	Y_RNA.102-201
ENSG00000199938	Y_RNA.103-201
ENSG00000199940	7SK.16-201
ENSG00000199944	U6.85-201
ENSG00000199949	Y_RNA.104-201
ENSG00000199953	5S_rRNA.51-201
ENSG00000199959	SNORA2.1-201
ENSG00000199962	Y_RNA.105-201
ENSG00000199963	U6.86-201
ENSG00000199964	Y_RNA.106-201
ENSG00000199971	U6.87-201
ENSG00000199975	7SK.17-201
ENSG00000199977	SNORA73.1-201
ENSG00000199979	Y_RNA.107-201
ENSG00000199980	Y_RNA.108-201
ENSG00000199985	5S_rRNA.52-201
ENSG00000199986	U6.88-201
ENSG00000199994	5S_rRNA.53-201
ENSG00000200003	U6.89-201
ENSG00000200008	Y_RNA.109-201
ENSG00000200011	Y_RNA.110-201
ENSG00000200013	U6.90-201
ENSG00000200021	5S_rRNA.54-201
ENSG00000200024	Y_RNA.111-201
ENSG00000200026	U8.2-201
ENSG00000200028	5S_rRNA.55-201
ENSG00000200029	U6.91-201
ENSG00000200033	U6.92-201
ENSG00000200034	U4.10-201
ENSG00000200036	5S_rRNA.56-201
ENSG00000200037	5S_rRNA.57-201
ENSG00000200040	Y_RNA.112-201
ENSG00000200041	Y_RNA.113-201
ENSG00000200042	U3.8-201
ENSG00000200047	7SK.18-201
ENSG00000200048	U6.93-201
ENSG00000200049	Y_RNA.114-201
ENSG00000200051	SNORD45.1-201
ENSG00000200052	Y_RNA.115-201
ENSG00000200057	7SK.19-201
ENSG00000200058	5S_rRNA.58-201
ENSG00000200059	Y_RNA.116-201
ENSG00000200060	Y_RNA.117-201
ENSG00000200062	U4.11-201
ENSG00000200063	SNORA30.1-201
ENSG00000200064	Y_RNA.118-201
ENSG00000200065	Y_RNA.119-201
ENSG00000200066	Y_RNA.120-201
ENSG00000200070	U4.12-201
ENSG00000200072	SNORD44.1-201
ENSG00000200075	SNORA25.3-201
ENSG00000200079	5S_rRNA.59-201
ENSG00000200085	Y_RNA.121-201
ENSG00000200086	U6.94-201
ENSG00000200090	Y_RNA.122-201
ENSG00000200091	7SK.20-201
ENSG00000200095	U6.95-201
ENSG00000200097	U6.96-201
ENSG00000200101	U6.97-201
ENSG00000200102	U6.98-201
ENSG00000200105	U6.99-201
ENSG00000200106	U6.100-201
ENSG00000200107	U6.101-201
ENSG00000200108	U6.102-201
ENSG00000200112	SNORD56.2-201
ENSG00000200113	SNORA51.1-201
ENSG00000200114	5S_rRNA.60-201
ENSG00000200115	5S_rRNA.61-201
ENSG00000200118	Y_RNA.123-201
ENSG00000200120	Y_RNA.124-201
ENSG00000200121	Y_RNA.125-201
ENSG00000200127	Y_RNA.126-201
ENSG00000200130	SNORA63.5-201
ENSG00000200131	7SK.21-201
ENSG00000200132	U6.103-201
ENSG00000200135	Y_RNA.127-201
ENSG00000200138	Y_RNA.128-201
ENSG00000200139	U6.104-201
ENSG00000200141	Y_RNA.129-201
ENSG00000200142	Y_RNA.130-201
ENSG00000200146	U6.105-201
ENSG00000200150	SNORD113.1-201
ENSG00000200151	7SK.22-201
ENSG00000200152	U6.106-201
ENSG00000200153	U6.107-201
ENSG00000200161	7SK.23-201
ENSG00000200162	Y_RNA.131-201
ENSG00000200164	Y_RNA.132-201
ENSG00000200168	5S_rRNA.62-201
ENSG00000200170	Y_RNA.133-201
ENSG00000200171	Y_RNA.134-201
ENSG00000200174	Y_RNA.135-201
ENSG00000200175	U6.108-201
ENSG00000200176	U1.19-201
ENSG00000200179	Y_RNA.136-201
ENSG00000200183	U6.109-201
ENSG00000200184	U1.20-201
ENSG00000200189	U6.110-201
ENSG00000200191	U8.3-201
ENSG00000200197	U1.21-201
ENSG00000200198	7SK.24-201
ENSG00000200201	Y_RNA.137-201
ENSG00000200204	U1.22-201
ENSG00000200206	SNORD74.1-201
ENSG00000200208	Y_RNA.138-201
ENSG00000200209	Y_RNA.139-201
ENSG00000200211	Y_RNA.140-201
ENSG00000200213	U6.111-201
ENSG00000200216	U6.112-201
ENSG00000200217	U6.113-201
ENSG00000200218	U6.114-201
ENSG00000200220	U6.115-201
ENSG00000200222	U3.9-201
ENSG00000200224	U6.116-201
ENSG00000200225	5S_rRNA.63-201
ENSG00000200227	5S_rRNA.64-201
ENSG00000200231	U1.23-201
ENSG00000200235	SNORA27.2-201
ENSG00000200237	SNORA70.1-201
ENSG00000200238	5S_rRNA.65-201
ENSG00000200241	Y_RNA.141-201
ENSG00000200242	Y_RNA.142-201
ENSG00000200243	7SK.25-201
ENSG00000200246	5S_rRNA.66-201
ENSG00000200247	U6.117-201
ENSG00000200248	5S_rRNA.67-201
ENSG00000200250	U6.118-201
ENSG00000200252	Y_RNA.143-201
ENSG00000200253	U6.119-201
ENSG00000200254	U6.120-201
ENSG00000200256	Y_RNA.144-201
ENSG00000200257	U6.121-201
ENSG00000200261	Y_RNA.145-201
ENSG00000200262	Y_RNA.146-201
ENSG00000200267	U6.122-201
ENSG00000200269	U6.123-201
ENSG00000200270	Y_RNA.147-201
ENSG00000200274	U4.13-201
ENSG00000200275	5S_rRNA.68-201
ENSG00000200278	5S_rRNA.69-201
ENSG00000200281	U6.124-201
ENSG00000200283	Y_RNA.148-201
ENSG00000200285	U6.125-201
ENSG00000200287	Y_RNA.149-201
ENSG00000200288	SNORA18.1-201
ENSG00000200291	Y_RNA.150-201
ENSG00000200293	5S_rRNA.70-201
ENSG00000200294	SNORA36.1-201
ENSG00000200295	U6.126-201
ENSG00000200296	U1.24-201
ENSG00000200298	Y_RNA.151-201
ENSG00000200301	5S_rRNA.71-201
ENSG00000200303	U6.127-201
ENSG00000200304	U6.128-201
ENSG00000200305	Y_RNA.152-201
ENSG00000200309	Y_RNA.153-201
ENSG00000200310	5S_rRNA.72-201
ENSG00000200312	7SK.26-201
ENSG00000200313	5_8S_rRNA.1-201
ENSG00000200314	Y_RNA.154-201
ENSG00000200318	U3.10-201
ENSG00000200319	U5.2-201
ENSG00000200325	Y_RNA.155-201
ENSG00000200326	5S_rRNA.73-201
ENSG00000200327	5S_rRNA.74-201
ENSG00000200331	U6.129-201
ENSG00000200332	Y_RNA.156-201
ENSG00000200334	Y_RNA.157-201
ENSG00000200336	5S_rRNA.75-201
ENSG00000200338	U1.25-201
ENSG00000200340	U1.26-201
ENSG00000200344	Y_RNA.158-201
ENSG00000200345	U6.130-201
ENSG00000200347	U6.131-201
ENSG00000200350	U6.132-201
ENSG00000200351	Y_RNA.159-201
ENSG00000200355	SNORA72.1-201
ENSG00000200356	U6.133-201
ENSG00000200360	U6.134-201
ENSG00000200361	Y_RNA.160-201
ENSG00000200366	U6.135-201
ENSG00000200369	U6.136-201
ENSG00000200372	U5.3-201
ENSG00000200376	U5.4-201
ENSG00000200377	SNORD56.3-201
ENSG00000200379	7SK.27-201
ENSG00000200385	SNORA42.2-201
ENSG00000200388	U6.137-201
ENSG00000200389	U6.138-201
ENSG00000200390	Y_RNA.161-201
ENSG00000200391	Y_RNA.162-201
ENSG00000200393	U6.139-201
ENSG00000200397	Y_RNA.163-201
ENSG00000200403	U6.140-201
ENSG00000200407	U6.141-201
ENSG00000200408	5S_rRNA.76-201
ENSG00000200411	5S_rRNA.77-201
ENSG00000200418	SNORA63.6-201
ENSG00000200419	Y_RNA.164-201
ENSG00000200421	Y_RNA.165-201
ENSG00000200422	SNORD45.2-201
ENSG00000200424	U6.142-201
ENSG00000200427	Y_RNA.166-201
ENSG00000200428	Y_RNA.167-201
ENSG00000200431	U4.14-201
ENSG00000200432	Y_RNA.168-201
ENSG00000200434	5_8S_rRNA.2-201
ENSG00000200436	Y_RNA.169-201
ENSG00000200437	U6.143-201
ENSG00000200442	SNORD45.3-201
ENSG00000200443	U6.144-201
ENSG00000200444	U6.145-201
ENSG00000200446	U6.146-201
ENSG00000200448	Y_RNA.170-201
ENSG00000200455	U6.147-201
ENSG00000200456	U6.148-201
ENSG00000200462	U6.149-201
ENSG00000200463	U8.4-201
ENSG00000200468	5S_rRNA.78-201
ENSG00000200469	U6.150-201
ENSG00000200471	U6.151-201
ENSG00000200472	7SK.28-201
ENSG00000200473	5S_rRNA.79-201
ENSG00000200475	7SK.29-201
ENSG00000200483	U6.152-201
ENSG00000200484	U6.153-201
ENSG00000200485	Y_RNA.171-201
ENSG00000200487	5S_rRNA.80-201
ENSG00000200488	7SK.30-201
ENSG00000200492	U3.11-201
ENSG00000200494	Y_RNA.172-201
ENSG00000200495	U6.154-201
ENSG00000200496	U8.5-201
ENSG00000200502	Y_RNA.173-201
ENSG00000200506	Y_RNA.174-201
ENSG00000200508	Y_RNA.175-201
ENSG00000200516	5S_rRNA.81-201
ENSG00000200520	U6.155-201
ENSG00000200521	Y_RNA.176-201
ENSG00000200522	U6.156-201
ENSG00000200525	U6.157-201
ENSG00000200526	Y_RNA.177-201
ENSG00000200527	5S_rRNA.82-201
ENSG00000200528	U6.158-201
ENSG00000200536	SNORA25.4-201
ENSG00000200537	Y_RNA.178-201
ENSG00000200538	U3.12-201
ENSG00000200543	7SK.31-201
ENSG00000200544	Y_RNA.179-201
ENSG00000200545	U3.13-201
ENSG00000200547	Y_RNA.180-201
ENSG00000200550	U6.159-201
ENSG00000200552	Y_RNA.181-201
ENSG00000200553	Y_RNA.182-201
ENSG00000200554	U6.160-201
ENSG00000200555	U6.161-201
ENSG00000200556	U6.162-201
ENSG00000200558	5S_rRNA.83-201
ENSG00000200560	U6.163-201
ENSG00000200563	U6.164-201
ENSG00000200566	U5.5-201
ENSG00000200570	U6.165-201
ENSG00000200571	U6.166-201
ENSG00000200572	Y_RNA.183-201
ENSG00000200575	U6.167-201
ENSG00000200579	Y_RNA.184-201
ENSG00000200587	5S_rRNA.84-201
ENSG00000200591	Y_RNA.185-201
ENSG00000200594	U6.168-201
ENSG00000200597	U1.27-201
ENSG00000200600	Y_RNA.186-201
ENSG00000200601	5S_rRNA.85-201
ENSG00000200605	Y_RNA.187-201
ENSG00000200606	Y_RNA.188-201
ENSG00000200610	Y_RNA.189-201
ENSG00000200613	5S_rRNA.86-201
ENSG00000200615	Y_RNA.190-201
ENSG00000200616	Y_RNA.191-201
ENSG00000200619	5S_rRNA.87-201
ENSG00000200620	SNORA7.1-201
ENSG00000200622	U6.169-201
ENSG00000200626	5S_rRNA.88-201
ENSG00000200629	Y_RNA.192-201
ENSG00000200630	Y_RNA.193-201
ENSG00000200635	Y_RNA.194-201
ENSG00000200637	U5.6-201
ENSG00000200645	U6.170-201
ENSG00000200646	Y_RNA.195-201
ENSG00000200648	U6.171-201
ENSG00000200649	5S_rRNA.89-201
ENSG00000200650	5S_rRNA.90-201
ENSG00000200651	Y_RNA.196-201
ENSG00000200652	SNORA25.5-201
ENSG00000200653	U4.15-201
ENSG00000200654	SNORA74.1-201
ENSG00000200658	Y_RNA.197-201
ENSG00000200662	Y_RNA.198-201
ENSG00000200664	Y_RNA.199-201
ENSG00000200665	U6.172-201
ENSG00000200670	U6.173-201
ENSG00000200673	7SK.32-201
ENSG00000200674	7SK.33-201
ENSG00000200677	SNORD18.1-201
ENSG00000200681	U6.174-201
ENSG00000200683	U6.175-201
ENSG00000200685	Y_RNA.200-201
ENSG00000200686	Y_RNA.201-201
ENSG00000200687	5S_rRNA.91-201
ENSG00000200688	Y_RNA.202-201
ENSG00000200693	U3.14-201
ENSG00000200701	U6.176-201
ENSG00000200702	Y_RNA.203-201
ENSG00000200703	U6.177-201
ENSG00000200706	SNORD45.4-201
ENSG00000200708	7SK.34-201
ENSG00000200709	5S_rRNA.92-201
ENSG00000200711	5S_rRNA.93-201
ENSG00000200713	U6.178-201
ENSG00000200714	Y_RNA.204-201
ENSG00000200718	7SK.35-201
ENSG00000200719	5S_rRNA.94-201
ENSG00000200720	U6.179-201
ENSG00000200728	U6.180-201
ENSG00000200731	U1.28-201
ENSG00000200732	U6.181-201
ENSG00000200733	SNORD38.1-201
ENSG00000200737	Y_RNA.205-201
ENSG00000200738	5S_rRNA.95-201
ENSG00000200741	5S_rRNA.96-201
ENSG00000200742	Y_RNA.206-201
ENSG00000200745	U1.29-201
ENSG00000200750	Y_RNA.207-201
ENSG00000200752	Y_RNA.208-201
ENSG00000200753	SNORD56.4-201
ENSG00000200754	Y_RNA.209-201
ENSG00000200755	5S_rRNA.97-201
ENSG00000200756	U6.182-201
ENSG00000200759	U6.183-201
ENSG00000200761	7SK.36-201
ENSG00000200763	U6.184-201
ENSG00000200764	Y_RNA.210-201
ENSG00000200769	Y_RNA.211-201
ENSG00000200774	U6.185-201
ENSG00000200779	U6.186-201
ENSG00000200783	7SK.37-201
ENSG00000200786	5S_rRNA.98-201
ENSG00000200788	Y_RNA.212-201
ENSG00000200789	U1.30-201
ENSG00000200790	U6.187-201
ENSG00000200794	7SK.38-201
ENSG00000200796	U6.188-201
ENSG00000200799	U6.189-201
ENSG00000200800	U1.31-201
ENSG00000200801	SNORD115.1-201
ENSG00000200806	5S_rRNA.99-201
ENSG00000200807	U1.32-201
ENSG00000200814	U6.190-201
ENSG00000200815	U6.191-201
ENSG00000200817	U6.192-201
ENSG00000200818	U6.193-201
ENSG00000200822	Y_RNA.213-201
ENSG00000200827	U6.194-201
ENSG00000200829	Y_RNA.214-201
ENSG00000200830	7SK.39-201
ENSG00000200833	Y_RNA.215-201
ENSG00000200834	Y_RNA.216-201
ENSG00000200837	Y_RNA.217-201
ENSG00000200839	5S_rRNA.100-201
ENSG00000200840	U6.195-201
ENSG00000200842	Y_RNA.218-201
ENSG00000200843	Y_RNA.219-201
ENSG00000200847	Y_RNA.220-201
ENSG00000200849	Y_RNA.221-201
ENSG00000200852	5S_rRNA.101-201
ENSG00000200855	Y_RNA.222-201
ENSG00000200857	Y_RNA.223-201
ENSG00000200860	Y_RNA.224-201
ENSG00000200867	7SK.40-201
ENSG00000200869	U6.196-201
ENSG00000200871	U6.197-201
ENSG00000200872	5S_rRNA.102-201
ENSG00000200873	5S_rRNA.103-201
ENSG00000200874	Y_RNA.225-201
ENSG00000200875	U6.198-201
ENSG00000200877	U6.199-201
ENSG00000200882	U6.200-201
ENSG00000200883	Y_RNA.226-201
ENSG00000200884	Y_RNA.227-201
ENSG00000200885	U1.33-201
ENSG00000200887	U6.201-201
ENSG00000200888	Y_RNA.228-201
ENSG00000200889	U4.16-201
ENSG00000200890	5S_rRNA.104-201
ENSG00000200891	SNORD74.2-201
ENSG00000200893	U6.202-201
ENSG00000200895	7SK.41-201
ENSG00000200897	SNORD74.3-201
ENSG00000200898	U6.203-201
ENSG00000200902	U6.204-201
ENSG00000200903	U1.34-201
ENSG00000200906	U6.205-201
ENSG00000200914	5S_rRNA.105-201
ENSG00000200917	U6.206-201
ENSG00000200922	Y_RNA.229-201
ENSG00000200924	U6.207-201
ENSG00000200926	U6.208-201
ENSG00000200935	U6.209-201
ENSG00000200941	U6.210-201
ENSG00000200942	U6.211-201
ENSG00000200953	Y_RNA.230-201
ENSG00000200957	U6.212-201
ENSG00000200963	U6.213-201
ENSG00000200966	7SK.42-201
ENSG00000200969	SNORD95.1-201
ENSG00000200972	U5.7-201
ENSG00000200974	U4.17-201
ENSG00000200975	U1.35-201
ENSG00000200976	Y_RNA.231-201
ENSG00000200980	Y_RNA.232-201
ENSG00000200982	Y_RNA.233-201
ENSG00000200985	5S_rRNA.106-201
ENSG00000200986	U6.214-201
ENSG00000200991	SNORA25.6-201
ENSG00000200997	U1.36-201
ENSG00000200998	Y_RNA.234-201
ENSG00000200999	SNORD74.4-201
ENSG00000201000	5S_rRNA.107-201
ENSG00000201001	U6.215-201
ENSG00000201003	SNORA58.1-201
ENSG00000201006	Y_RNA.235-201
ENSG00000201009	SNORD46.1-201
ENSG00000201010	7SK.43-201
ENSG00000201012	Y_RNA.236-201
ENSG00000201013	Y_RNA.237-201
ENSG00000201014	5S_rRNA.108-201
ENSG00000201015	U6.216-201
ENSG00000201016	U6.217-201
ENSG00000201021	U6.218-201
ENSG00000201023	Y_RNA.238-201
ENSG00000201025	SNORD74.5-201
ENSG00000201026	Y_RNA.239-201
ENSG00000201027	7SK.44-201
ENSG00000201028	U6.219-201
ENSG00000201031	Y_RNA.240-201
ENSG00000201032	U6.220-201
ENSG00000201033	U1.37-201
ENSG00000201034	Y_RNA.241-201
ENSG00000201035	5S_rRNA.109-201
ENSG00000201036	SNORD113.2-201
ENSG00000201041	5S_rRNA.110-201
ENSG00000201042	SNORA38.1-201
