Ensembl ID	ENS_LRG_gene ID
ENSG00000103313	LRG_190_t1
ENSG00000104320	LRG_158
ENSG00000104320	LRG_158_t1
ENSG00000105369	LRG_42
ENSG00000105369	LRG_42_t1
ENSG00000105639	LRG_77
ENSG00000105639	LRG_77_t1
ENSG00000106804	LRG_28
ENSG00000106804	LRG_28_t1
ENSG00000107099	LRG_196
ENSG00000107099	LRG_196_t1
ENSG00000108821	LRG_1
ENSG00000108821	LRG_1_t1
ENSG00000109101	LRG_61
ENSG00000109101	LRG_61_t1
ENSG00000109861	LRG_50
ENSG00000109861	LRG_50_t1
ENSG00000110057	LRG_123
ENSG00000110057	LRG_123_t1
ENSG00000110324	LRG_151
ENSG00000110324	LRG_151_t1
ENSG00000110651	LRG_142
ENSG00000110651	LRG_142_t1
ENSG00000110680	LRG_13
ENSG00000110680	LRG_13_t1
ENSG00000110680	LRG_13_t2
ENSG00000110719	LRG_115
ENSG00000110921	LRG_156
ENSG00000110921	LRG_156_t1
ENSG00000111732	LRG_17
ENSG00000111732	LRG_17_t1
ENSG00000112936	LRG_30
ENSG00000112936	LRG_30_t1
ENSG00000113263	LRG_189
ENSG00000113263	LRG_189_t1
ENSG00000113302	LRG_71
ENSG00000113302	LRG_71_t1
ENSG00000113600	LRG_32
ENSG00000113600	LRG_32_t1
ENSG00000114062	LRG_15
ENSG00000114062	LRG_15_t1
ENSG00000115085	LRG_126
ENSG00000115085	LRG_126_t1
ENSG00000115415	LRG_111
ENSG00000115415	LRG_111_t1
ENSG00000115648	LRG_83
ENSG00000115648	LRG_83_t1
ENSG00000116586	LRG_81
ENSG00000116586	LRG_81_t1
ENSG00000116701	LRG_88
ENSG00000116701	LRG_88_t1
ENSG00000116785	LRG_175
ENSG00000116785	LRG_175_t1
ENSG00000117335	LRG_155
ENSG00000117335	LRG_155_t1
ENSG00000117385	LRG_5
ENSG00000117385	LRG_5_t1
ENSG00000117385	LRG_5_t2
ENSG00000117560	LRG_58
ENSG00000117560	LRG_58_t1
ENSG00000119535	LRG_144
ENSG00000119535	LRG_144_t1
ENSG00000121966	LRG_51
ENSG00000121966	LRG_51_t1
ENSG00000125730	LRG_27
ENSG00000125730	LRG_27_t1
ENSG00000126759	LRG_129
ENSG00000126759	LRG_129_t1
ENSG00000128322	LRG_69
ENSG00000128322	LRG_69_t1
ENSG00000128340	LRG_97
ENSG00000128340	LRG_97_t1
ENSG00000130826	LRG_55
ENSG00000130826	LRG_55_t1
ENSG00000131187	LRG_145
ENSG00000131187	LRG_145_t1
ENSG00000131482	LRG_147
ENSG00000131482	LRG_147_t1
ENSG00000132842	LRG_170
ENSG00000132842	LRG_170_t1
ENSG00000133111	LRG_103
ENSG00000133111	LRG_103_t1
ENSG00000133710	LRG_110
ENSG00000133710	LRG_110_t1
ENSG00000134460	LRG_73
ENSG00000134460	LRG_73_t1
ENSG00000134982	LRG_130
ENSG00000134982	LRG_130_t3
ENSG00000135604	LRG_113
ENSG00000135604	LRG_113_t1
ENSG00000135899	LRG_109
ENSG00000135899	LRG_109_t1
ENSG00000136689	LRG_188
ENSG00000136689	LRG_188_t1
ENSG00000136802	LRG_80
ENSG00000136802	LRG_80_t1
ENSG00000137700	LRG_187
ENSG00000137700	LRG_187_t1
ENSG00000138375	LRG_108
ENSG00000138375	LRG_108_t1
ENSG00000140368	LRG_172
ENSG00000140368	LRG_172_t1
ENSG00000141349	LRG_182
ENSG00000141349	LRG_182_t1
ENSG00000141524	LRG_118
ENSG00000141524	LRG_118_t1
ENSG00000141655	LRG_194
ENSG00000141655	LRG_194_t1
ENSG00000141756	LRG_12
ENSG00000141756	LRG_12_t1
ENSG00000141837	LRG_7
ENSG00000141837	LRG_7_t1
ENSG00000142748	LRG_171
ENSG00000142748	LRG_171_t1
ENSG00000143390	LRG_101
ENSG00000143390	LRG_101_t1
ENSG00000143575	LRG_64
ENSG00000143575	LRG_64_t1
ENSG00000143669	LRG_143
ENSG00000143669	LRG_143_t1
ENSG00000144285	LRG_8
ENSG00000144285	LRG_8_t1
ENSG00000147168	LRG_150
ENSG00000147168	LRG_150_t1
ENSG00000149131	LRG_105
ENSG00000149131	LRG_105_t1
ENSG00000149311	LRG_135
ENSG00000149311	LRG_135_t1
ENSG00000149781	LRG_180
ENSG00000149781	LRG_180_t1
ENSG00000150337	LRG_59
ENSG00000150337	LRG_59_t1
ENSG00000152457	LRG_54
ENSG00000152457	LRG_54_t1
ENSG00000153563	LRG_44
ENSG00000153563	LRG_44_t1
ENSG00000156738	LRG_140
ENSG00000156738	LRG_140_t1
ENSG00000157131	LRG_139
ENSG00000157131	LRG_139_t1
ENSG00000159189	LRG_24
ENSG00000159189	LRG_24_t1
ENSG00000159958	LRG_184
ENSG00000159958	LRG_184_t1
ENSG00000160211	LRG_148
ENSG00000160211	LRG_148_t1
ENSG00000160224	LRG_18
ENSG00000160224	LRG_18_t1
ENSG00000160255	LRG_76
ENSG00000160255	LRG_76_t1
ENSG00000160654	LRG_39
ENSG00000160654	LRG_39_t1
ENSG00000162676	LRG_63
ENSG00000162676	LRG_63_t1
ENSG00000162711	LRG_197
ENSG00000162711	LRG_197_t1
ENSG00000163600	LRG_65
ENSG00000163600	LRG_65_t1
ENSG00000164342	LRG_117
ENSG00000164342	LRG_117_t1
ENSG00000164692	LRG_2
ENSG00000164692	LRG_2_t1
ENSG00000165168	LRG_53
ENSG00000165168	LRG_53_t1
ENSG00000165195	LRG_160
ENSG00000165195	LRG_160_t1
ENSG00000165471	LRG_154
ENSG00000165471	LRG_154_t1
ENSG00000166278	LRG_26
ENSG00000166278	LRG_26_t1
ENSG00000166349	LRG_98
ENSG00000166349	LRG_98_t1
ENSG00000166794	LRG_10
ENSG00000166794	LRG_10_t1
ENSG00000167207	LRG_177
ENSG00000167207	LRG_177_t1
ENSG00000167286	LRG_37
ENSG00000167286	LRG_37_t1
ENSG00000167323	LRG_164
ENSG00000167323	LRG_164_t1
ENSG00000167895	LRG_119
ENSG00000167895	LRG_119_t1
ENSG00000168394	LRG_166
ENSG00000168394	LRG_166_t1
ENSG00000168542	LRG_3
ENSG00000168542	LRG_3_t1
ENSG00000168685	LRG_74
ENSG00000168685	LRG_74_t1
ENSG00000170275	LRG_4
ENSG00000170275	LRG_4_t1
ENSG00000171051	LRG_146
ENSG00000171051	LRG_146_t1
ENSG00000171316	LRG_176
ENSG00000171316	LRG_176_t1
ENSG00000172243	LRG_179
ENSG00000172243	LRG_179_t1
ENSG00000172936	LRG_157
ENSG00000172936	LRG_157_t1
ENSG00000173369	LRG_23
ENSG00000173369	LRG_23_t1
ENSG00000173372	LRG_22
ENSG00000173372	LRG_22_t1
ENSG00000174405	LRG_79
ENSG00000174405	LRG_79_t1
ENSG00000175097	LRG_99
ENSG00000177455	LRG_35
ENSG00000177455	LRG_35_t1
ENSG00000178726	LRG_168
ENSG00000178726	LRG_168_t1
ENSG00000179583	LRG_49
ENSG00000179583	LRG_49_t1
ENSG00000180644	LRG_94
ENSG00000180644	LRG_94_t1
ENSG00000181830	LRG_107
ENSG00000181830	LRG_107_t1
ENSG00000182326	LRG_25
ENSG00000182326	LRG_25_t1
ENSG00000182500	LRG_93
ENSG00000182500	LRG_93_t1
ENSG00000183918	LRG_106
ENSG00000183918	LRG_106_t1
ENSG00000185339	LRG_116
ENSG00000187736	LRG_90
ENSG00000187736	LRG_90_t1
ENSG00000187796	LRG_178
ENSG00000187796	LRG_178_t1
ENSG00000196352	LRG_127
ENSG00000196352	LRG_127_t1
ENSG00000196839	LRG_16
ENSG00000196839	LRG_16_t1
ENSG00000197535	LRG_86
ENSG00000197535	LRG_86_t1
ENSG00000197561	LRG_57
ENSG00000197561	LRG_57_t1
ENSG00000197766	LRG_46
ENSG00000197766	LRG_46_t1
ENSG00000198001	LRG_75
ENSG00000198001	LRG_75_t1
ENSG00000198677	LRG_173
ENSG00000198677	LRG_173_t1
ENSG00000198805	LRG_91
ENSG00000198805	LRG_91_t1
ENSG00000198821	LRG_36
ENSG00000198821	LRG_36_t1
ENSG00000198851	LRG_38
ENSG00000198851	LRG_38_t1
ENSG00000203747	LRG_60
ENSG00000203747	LRG_60_t1
ENSG00000204267	LRG_167
ENSG00000204267	LRG_167_t1
ENSG00000205403	LRG_48
ENSG00000205403	LRG_48_t1
ENSG00000213281	LRG_92
ENSG00000213281	LRG_92_t1
ENSG00000224389	LRG_138
ENSG00000224389	LRG_138_t1
ENSG00000231925	LRG_114
ENSG00000231925	LRG_114_t1
ENSG00000240505	LRG_120
ENSG00000240505	LRG_120_t1
ENSG00000243646	LRG_152
ENSG00000243646	LRG_152_t1
ENSG00000243649	LRG_136
ENSG00000243649	LRG_136_t1
ENSG00000244414	LRG_149
ENSG00000244414	LRG_149_t1
ENSG00000244731	LRG_137
ENSG00000244731	LRG_137_t1
ENSG00000253729	LRG_162
ENSG00000253729	LRG_162_t1
