EntrezGene	Ensembl
8293	ENSG00000205572
8293	ENSG00000237391
266675	ENSG00000142959
8292	ENSG00000206561
2039	ENSG00000158856
2317	ENSG00000136068
130872	ENSG00000173209
2038	ENSG00000166947
154091	ENSG00000146411
388849	ENSG00000234409
6533	ENSG00000131389
127731	ENSG00000158816
2315	ENSG00000120215
65268	ENSG00000165238
343637	ENSG00000101282
65264	ENSG00000159202
81532	ENSG00000182208
65266	ENSG00000126562
65267	ENSG00000196632
65260	ENSG00000162377
65263	ENSG00000104524
393	ENSG00000089820
392	ENSG00000175220
391	ENSG00000177105
390	ENSG00000115963
397	ENSG00000111348
396	ENSG00000141522
395	ENSG00000047648
394	ENSG00000100852
399	ENSG00000168421
6799	ENSG00000197165
2309	ENSG00000118689
85409	ENSG00000145506
201134	ENSG00000154240
114548	ENSG00000162711
4728	ENSG00000110717
159090	ENSG00000156504
81502	ENSG00000101294
81501	ENSG00000164935
2302	ENSG00000129654
2305	ENSG00000111206
4720	ENSG00000158864
4723	ENSG00000167792
283189	ENSG00000172457
11281	ENSG00000106536
11280	ENSG00000168356
11283	ENSG00000186526
11282	ENSG00000161013
11285	ENSG00000027847
11284	ENSG00000039650
202333	ENSG00000164309
389690	ENSG00000226807
3748	ENSG00000131398
3749	ENSG00000116396
3746	ENSG00000129159
204219	ENSG00000154227
3744	ENSG00000143105
3745	ENSG00000158445
3742	ENSG00000151079
3743	ENSG00000104848
3741	ENSG00000130037
4620	ENSG00000125414
4621	ENSG00000109063
4622	ENSG00000141048
414062	ENSG00000205021
414062	ENSG00000256515
414062	ENSG00000256934
4624	ENSG00000197616
4625	ENSG00000092054
4626	ENSG00000133020
4627	ENSG00000100345
4628	ENSG00000133026
4629	ENSG00000133392
440387	ENSG00000168928
728747	ENSG00000172014
222553	ENSG00000196376
116337	ENSG00000154143
57661	ENSG00000070047
57663	ENSG00000131864
57662	ENSG00000076826
57665	ENSG00000240857
57664	ENSG00000105559
51309	ENSG00000126947
57666	ENSG00000112787
57669	ENSG00000115109
390927	ENSG00000188227
2300	ENSG00000176678
83706	ENSG00000149781
51106	ENSG00000029639
51107	ENSG00000117362
51104	ENSG00000107362
51105	ENSG00000129292
51102	ENSG00000116353
51103	ENSG00000137806
51100	ENSG00000097033
51101	ENSG00000104427
10462	ENSG00000132514
63905	ENSG00000101363
63904	ENSG00000189037
11016	ENSG00000170653
63901	ENSG00000166801
51109	ENSG00000072042
256714	ENSG00000184368
3442	ENSG00000147873
219482	ENSG00000174937
646	ENSG00000169594
122970	ENSG00000177465
790955	ENSG00000204922
11163	ENSG00000173598
153129	ENSG00000177058
178	ENSG00000162688
177	ENSG00000204305
177	ENSG00000206320
177	ENSG00000229058
177	ENSG00000234729
177	ENSG00000237405
176	ENSG00000157766
175	ENSG00000038002
174	ENSG00000081051
173	ENSG00000079557
408029	ENSG00000186825
55304	ENSG00000172296
100293561	ENSG00000250733
152831	ENSG00000134962
100128927	ENSG00000179627
1775	ENSG00000167968
146310	ENSG00000179580
80108	ENSG00000198939
55015	ENSG00000185246
2339	ENSG00000168522
10513	ENSG00000062725
348110	ENSG00000242498
200558	ENSG00000169621
128602	ENSG00000124237
2968	ENSG00000213780
2968	ENSG00000221974
2968	ENSG00000226384
2968	ENSG00000233149
2968	ENSG00000234370
2968	ENSG00000236895
139231	ENSG00000123575
390992	ENSG00000173673
347	ENSG00000189058
256356	ENSG00000175066
10390	ENSG00000134255
57084	ENSG00000091664
10392	ENSG00000106100
83861	ENSG00000130363
10394	ENSG00000156575
56923	ENSG00000132911
10396	ENSG00000124406
10397	ENSG00000104419
10398	ENSG00000101335
10399	ENSG00000204628
205	ENSG00000162433
57088	ENSG00000114698
400359	ENSG00000175779
390980	ENSG00000204524
100132386	ENSG00000212722
440138	ENSG00000253710
55837	ENSG00000129518
84722	ENSG00000134222
7216	ENSG00000067445
731220	ENSG00000196460
6217	ENSG00000105193
55835	ENSG00000151849
6210	ENSG00000134419
274	ENSG00000136717
54414	ENSG00000110013
54413	ENSG00000196338
275	ENSG00000145020
23085	ENSG00000082805
6818	ENSG00000213599
6818	ENSG00000213648
2303	ENSG00000176692
276	ENSG00000174876
276	ENSG00000187733
276	ENSG00000237763
390181	ENSG00000181273
90102	ENSG00000144824
6811	ENSG00000162236
6810	ENSG00000103496
6813	ENSG00000076944
6812	ENSG00000136854
6815	ENSG00000198252
6814	ENSG00000116266
6817	ENSG00000196502
9757	ENSG00000105663
11169	ENSG00000198554
9755	ENSG00000198933
9754	ENSG00000130052
10578	ENSG00000115523
10579	ENSG00000138162
9751	ENSG00000101298
9750	ENSG00000111913
10574	ENSG00000135624
10575	ENSG00000115484
10576	ENSG00000166226
10577	ENSG00000119655
10570	ENSG00000151640
9759	ENSG00000068024
10573	ENSG00000086504
24146	ENSG00000106404
24147	ENSG00000179431
24144	ENSG00000100109
24145	ENSG00000110218
401827	ENSG00000162006
24140	ENSG00000068438
24141	ENSG00000125869
23515	ENSG00000159256
24148	ENSG00000101161
56924	ENSG00000137843
8848	ENSG00000102804
504191	ENSG00000174914
8840	ENSG00000104415
8841	ENSG00000171720
8842	ENSG00000007062
147991	ENSG00000178904
8844	ENSG00000141068
253260	ENSG00000164327
8846	ENSG00000100601
79722	ENSG00000164512
100508173	ENSG00000204662
22992	ENSG00000173120
100508174	ENSG00000198612
723790	ENSG00000183558
723790	ENSG00000203812
56927	ENSG00000125734
730427	ENSG00000166833
80816	ENSG00000141431
80817	ENSG00000164118
504190	ENSG00000172199
338821	ENSG00000205754
728279	ENSG00000214518
146861	ENSG00000164729
146862	ENSG00000141161
493829	ENSG00000177238
80818	ENSG00000125945
257407	ENSG00000204128
160065	ENSG00000171053
100292719	ENSG00000203950
149466	ENSG00000253313
136853	ENSG00000146700
149461	ENSG00000164007
93594	ENSG00000156787
23517	ENSG00000039123
56926	ENSG00000125912
197335	ENSG00000161996
169611	ENSG00000185585
1768	ENSG00000115423
1769	ENSG00000124721
346389	ENSG00000183742
1762	ENSG00000185800
1763	ENSG00000138346
1760	ENSG00000104936
1761	ENSG00000137090
55929	ENSG00000178028
1767	ENSG00000039139
8906	ENSG00000213983
391211	ENSG00000188558
5988	ENSG00000128250
100128174	ENSG00000186146
100507200	ENSG00000250210
100507200	ENSG00000250765
283767	ENSG00000197414
404281	ENSG00000230797
1939	ENSG00000143486
441315	ENSG00000229924
728013	ENSG00000147996
728013	ENSG00000196873
728013	ENSG00000215126
57733	ENSG00000249948
11119	ENSG00000026950
51115	ENSG00000176623
1544	ENSG00000140505
1545	ENSG00000138061
58538	ENSG00000082126
1543	ENSG00000140465
1540	ENSG00000083799
695	ENSG00000010671
100287226	ENSG00000196350
11113	ENSG00000122966
11112	ENSG00000106049
58530	ENSG00000206402
58530	ENSG00000225993
58530	ENSG00000226603
58530	ENSG00000234443
58530	ENSG00000236902
58530	ENSG00000244355
58531	ENSG00000178257
11117	ENSG00000138080
58533	ENSG00000129515
388595	ENSG00000162460
284306	ENSG00000152433
8712	ENSG00000068985
51116	ENSG00000122140
8714	ENSG00000108846
8715	ENSG00000101746
283461	ENSG00000180116
8717	ENSG00000102871
79706	ENSG00000128563
79707	ENSG00000162408
79705	ENSG00000154237
79703	ENSG00000173715
284309	ENSG00000152443
79701	ENSG00000181396
388115	ENSG00000188549
51032	ENSG00000215704
284076	ENSG00000170703
284071	ENSG00000180336
51112	ENSG00000171853
51030	ENSG00000171928
10251	ENSG00000168939
59082	ENSG00000255501
55062	ENSG00000070540
389203	ENSG00000250317
7562	ENSG00000182141
115361	ENSG00000162654
201633	ENSG00000181847
55102	ENSG00000066739
55103	ENSG00000116191
55100	ENSG00000082068
55101	ENSG00000105341
55106	ENSG00000172123
55107	ENSG00000131620
55105	ENSG00000092978
5612	ENSG00000137492
170685	ENSG00000122824
5610	ENSG00000055332
5611	ENSG00000102580
170680	ENSG00000204538
5617	ENSG00000172179
51118	ENSG00000183520
144423	ENSG00000151948
55069	ENSG00000106609
284161	ENSG00000153982
5716	ENSG00000101843
3952	ENSG00000174697
89790	ENSG00000142512
339448	ENSG00000198912
403277	ENSG00000206536
100287223	ENSG00000256605
145773	ENSG00000157470
79086	ENSG00000214046
100293916	ENSG00000103365
474170	ENSG00000238083
10253	ENSG00000136158
222487	ENSG00000182885
23266	ENSG00000117114
23264	ENSG00000100403
23265	ENSG00000182473
23262	ENSG00000145725
23263	ENSG00000126217
23261	ENSG00000171735
9528	ENSG00000116209
11177	ENSG00000198604
23268	ENSG00000107554
9529	ENSG00000166170
219875	ENSG00000171014
10252	ENSG00000164056
256435	ENSG00000184005
253152	ENSG00000172031
9524	ENSG00000099797
23753	ENSG00000128228
643246	ENSG00000171471
9525	ENSG00000119541
85280	ENSG00000241595
3046	ENSG00000213931
57476	ENSG00000023171
90522	ENSG00000167645
57477	ENSG00000158352
57470	ENSG00000130764
644815	ENSG00000188522
9521	ENSG00000124802
128859	ENSG00000167104
145814	ENSG00000183571
367	ENSG00000169083
340120	ENSG00000189127
128853	ENSG00000149599
166647	ENSG00000152990
448835	ENSG00000235942
448834	ENSG00000203786
6778	ENSG00000166888
6779	ENSG00000126549
448831	ENSG00000205097
6774	ENSG00000168610
6775	ENSG00000138378
6776	ENSG00000126561
6777	ENSG00000173757
6770	ENSG00000147465
6772	ENSG00000115415
6773	ENSG00000170581
92745	ENSG00000017483
9965	ENSG00000162344
92747	ENSG00000125999
9967	ENSG00000054118
9960	ENSG00000140455
9961	ENSG00000013364
9962	ENSG00000089057
9963	ENSG00000170482
56106	ENSG00000253846
56105	ENSG00000253873
56104	ENSG00000254221
92749	ENSG00000157856
9969	ENSG00000108510
56100	ENSG00000253305
100510073	ENSG00000131876
50514	ENSG00000173077
10949	ENSG00000177733
1173	ENSG00000161203
201895	ENSG00000163683
386617	ENSG00000183783
258	ENSG00000178522
259	ENSG00000106927
55818	ENSG00000115548
55819	ENSG00000113269
150590	ENSG00000241962
55814	ENSG00000145734
55814	ENSG00000256410
55815	ENSG00000102904
55816	ENSG00000101134
251	ENSG00000163286
55810	ENSG00000065970
55811	ENSG00000143199
55812	ENSG00000042317
55813	ENSG00000108651
10256	ENSG00000142675
84225	ENSG00000141497
4665	ENSG00000166886
245806	ENSG00000170162
3581	ENSG00000124334
5726	ENSG00000183609
245802	ENSG00000166926
90799	ENSG00000256785
90799	ENSG00000257066
362	ENSG00000161798
159371	ENSG00000176273
104	ENSG00000197381
100507527	ENSG00000256738
84553	ENSG00000146267
100529097	ENSG00000241343
84552	ENSG00000178184
140856	ENSG00000132631
57418	ENSG00000065268
9509	ENSG00000087116
100506127	ENSG00000179240
140850	ENSG00000088782
9502	ENSG00000155622
9502	ENSG00000185751
9503	ENSG00000183461
9503	ENSG00000204375
9503	ENSG00000204376
9503	ENSG00000204379
9503	ENSG00000204382
57410	ENSG00000142186
9501	ENSG00000181031
9501	ENSG00000238174
9506	ENSG00000101951
9507	ENSG00000158859
57414	ENSG00000005486
57415	ENSG00000114405
219855	ENSG00000134955
219854	ENSG00000150433
117195	ENSG00000179826
117194	ENSG00000183695
132954	ENSG00000163440
84108	ENSG00000156374
84109	ENSG00000186867
3689	ENSG00000160255
3688	ENSG00000150093
148418	ENSG00000203943
3683	ENSG00000005844
3682	ENSG00000083457
84102	ENSG00000136052
84103	ENSG00000138813
3687	ENSG00000140678
346606	ENSG00000106384
84106	ENSG00000133246
1671	ENSG00000164822
90480	ENSG00000179271
26048	ENSG00000103199
64928	ENSG00000180992
2519	ENSG00000001036
113178	ENSG00000227500
64924	ENSG00000145740
2515	ENSG00000104755
64926	ENSG00000105122
64927	ENSG00000103852
26045	ENSG00000146006
64921	ENSG00000127995
2512	ENSG00000087086
26046	ENSG00000198862
345778	ENSG00000177034
84129	ENSG00000240303
93487	ENSG00000168175
100132941	ENSG00000233732
100506341	ENSG00000213413
135948	ENSG00000221910
361	ENSG00000171885
283464	ENSG00000151233
2797	ENSG00000125787
391112	ENSG00000197532
149699	ENSG00000124196
5058	ENSG00000149269
645027	ENSG00000214860
391114	ENSG00000203757
5054	ENSG00000106366
5055	ENSG00000197632
22818	ENSG00000111481
5050	ENSG00000079462
5051	ENSG00000158006
5052	ENSG00000117450
5053	ENSG00000171759
6887	ENSG00000186051
255022	ENSG00000185933
138065	ENSG00000165188
60468	ENSG00000112182
147199	ENSG00000188076
10761	ENSG00000170965
162699	ENSG00000183791
10763	ENSG00000132688
10762	ENSG00000093000
10765	ENSG00000117139
10767	ENSG00000112339
100508936	ENSG00000183562
10769	ENSG00000145632
90665	ENSG00000092377
284613	ENSG00000174151
1670	ENSG00000164816
54996	ENSG00000117791
54997	ENSG00000088992
54994	ENSG00000101193
54995	ENSG00000151093
112936	ENSG00000151502
387700	ENSG00000152779
54991	ENSG00000131591
121340	ENSG00000170374
112939	ENSG00000160877
54998	ENSG00000175756
400506	ENSG00000103550
120775	ENSG00000178358
122011	ENSG00000180138
80110	ENSG00000142556
4161	ENSG00000176136
10438	ENSG00000197223
80117	ENSG00000179674
4160	ENSG00000166603
203611	ENSG00000129873
203611	ENSG00000182415
23243	ENSG00000206560
27112	ENSG00000130054
254122	ENSG00000172803
146456	ENSG00000157315
64806	ENSG00000166090
83452	ENSG00000172007
83451	ENSG00000106077
83450	ENSG00000171962
132321	ENSG00000151470
132320	ENSG00000151466
27010	ENSG00000196511
255520	ENSG00000179387
343263	ENSG00000221986
100509342	ENSG00000196960
89941	ENSG00000140983
285172	ENSG00000155744
89944	ENSG00000149328
84075	ENSG00000189139
10445	ENSG00000187778
79441	ENSG00000214367
146547	ENSG00000178226
64800	ENSG00000186976
203238	ENSG00000164989
83637	ENSG00000122515
83636	ENSG00000131943
347736	ENSG00000181322
390243	ENSG00000183560
10181	ENSG00000003756
10180	ENSG00000004534
347732	ENSG00000152705
347733	ENSG00000137285
337967	ENSG00000186930
161582	ENSG00000256061
94137	ENSG00000183638
10188	ENSG00000061938
83639	ENSG00000131126
651746	ENSG00000164236
728410	ENSG00000227476
728410	ENSG00000227904
728410	ENSG00000228114
728410	ENSG00000228188
728410	ENSG00000256130
728410	ENSG00000256830
7551	ENSG00000166526
23078	ENSG00000102763
1159	ENSG00000223572
1159	ENSG00000237289
1158	ENSG00000104879
1155	ENSG00000105254
1154	ENSG00000114737
23071	ENSG00000023318
23070	ENSG00000137200
23077	ENSG00000005810
23076	ENSG00000160208
1153	ENSG00000099622
23074	ENSG00000111647
10085	ENSG00000164176
285051	ENSG00000239605
29127	ENSG00000161800
29126	ENSG00000120217
29125	ENSG00000110665
29124	ENSG00000105198
29123	ENSG00000167522
29122	ENSG00000206549
29121	ENSG00000069493
25893	ENSG00000162722
85439	ENSG00000140022
25891	ENSG00000149090
25890	ENSG00000154175
25897	ENSG00000034677
25896	ENSG00000143493
25895	ENSG00000123427
29128	ENSG00000034063
400120	ENSG00000180440
83872	ENSG00000143341
83875	ENSG00000197580
388610	ENSG00000253368
388611	ENSG00000174950
100508690	ENSG00000250361
10382	ENSG00000104833
8034	ENSG00000122912
8036	ENSG00000108061
8031	ENSG00000138293
8030	ENSG00000108091
401036	ENSG00000182177
10380	ENSG00000162813
8038	ENSG00000148848
283638	ENSG00000099814
8528	ENSG00000203797
83878	ENSG00000130307
8522	ENSG00000007237
8521	ENSG00000137270
8520	ENSG00000128708
8527	ENSG00000077044
8526	ENSG00000153933
8525	ENSG00000149091
283635	ENSG00000151327
154907	ENSG00000205174
387856	ENSG00000177875
64798	ENSG00000155792
1419	ENSG00000182187
92241	ENSG00000198771
26609	ENSG00000182583
26608	ENSG00000106638
728489	ENSG00000213221
344558	ENSG00000172985
55090	ENSG00000141026
55554	ENSG00000174562
10623	ENSG00000186141
126669	ENSG00000169291
126668	ENSG00000163239
10388	ENSG00000196074
127281	ENSG00000157870
127829	ENSG00000143862
54065	ENSG00000205670
374946	ENSG00000162490
150365	ENSG00000167077
388558	ENSG00000198482
103910	ENSG00000118680
65065	ENSG00000144426
65062	ENSG00000155755
374768	ENSG00000181323
259295	ENSG00000255837
65061	ENSG00000138395
389058	ENSG00000204335
100132202	ENSG00000215405
100132202	ENSG00000227717
100132202	ENSG00000256411
26548	ENSG00000147166
1412	ENSG00000163499
10193	ENSG00000181852
199964	ENSG00000143001
4298	ENSG00000130382
4295	ENSG00000096395
4294	ENSG00000130758
4297	ENSG00000118058
4296	ENSG00000173327
4291	ENSG00000178053
80700	ENSG00000167671
4293	ENSG00000006432
4292	ENSG00000076242
23381	ENSG00000198952
23380	ENSG00000163486
23383	ENSG00000129933
23382	ENSG00000158467
23385	ENSG00000162736
23384	ENSG00000100014
23387	ENSG00000160584
23386	ENSG00000015676
23389	ENSG00000123066
133746	ENSG00000152409
55680	ENSG00000204130
117286	ENSG00000141977
100510487	ENSG00000185662
10168	ENSG00000186448
80704	ENSG00000135917
55432	ENSG00000180667
23779	ENSG00000241484
23779	ENSG00000248405
10974	ENSG00000148671
653282	ENSG00000224089
653282	ENSG00000226023
653282	ENSG00000226600
653282	ENSG00000226685
653282	ENSG00000226929
653282	ENSG00000228517
653282	ENSG00000230347
653282	ENSG00000230594
653282	ENSG00000236126
653282	ENSG00000236371
653282	ENSG00000237957
653282	ENSG00000242362
207	ENSG00000142208
155465	ENSG00000173467
3516	ENSG00000168214
81563	ENSG00000116667
81562	ENSG00000114988
81565	ENSG00000166579
81567	ENSG00000188428
81567	ENSG00000239264
81566	ENSG00000110925
81569	ENSG00000117148
6368	ENSG00000167236
344148	ENSG00000176771
390113	ENSG00000176567
387103	ENSG00000203760
388555	ENSG00000188624
165631	ENSG00000173200
283897	ENSG00000185905
201158	ENSG00000175106
4741	ENSG00000104722
1325	ENSG00000241563
4747	ENSG00000256228
4745	ENSG00000165973
4744	ENSG00000100285
55317	ENSG00000125843
55640	ENSG00000119686
55643	ENSG00000133243
55314	ENSG00000164124
55313	ENSG00000103381
55644	ENSG00000092094
55647	ENSG00000139832
55646	ENSG00000145220
5865	ENSG00000169213
5864	ENSG00000105649
5867	ENSG00000168118
5866	ENSG00000167994
5861	ENSG00000138069
5860	ENSG00000151552
55319	ENSG00000198498
5862	ENSG00000104388
56666	ENSG00000073150
5723	ENSG00000146733
387763	ENSG00000187479
56660	ENSG00000184261
27254	ENSG00000172346
2638	ENSG00000145321
22843	ENSG00000175175
56848	ENSG00000063176
56849	ENSG00000182916
90871	ENSG00000137038
2182	ENSG00000068366
2181	ENSG00000123983
2180	ENSG00000151726
2187	ENSG00000181544
90874	ENSG00000143067
2185	ENSG00000120899
2184	ENSG00000103876
4606	ENSG00000086967
4607	ENSG00000134571
4604	ENSG00000196091
4605	ENSG00000101057
4602	ENSG00000118513
4603	ENSG00000185697
4600	ENSG00000183486
4601	ENSG00000119950
93377	ENSG00000197430
6451	ENSG00000131171
57649	ENSG00000109118
6906	ENSG00000123561
57647	ENSG00000150990
57646	ENSG00000048028
57645	ENSG00000143157
57644	ENSG00000078814
57643	ENSG00000162415
57642	ENSG00000101203
10437	ENSG00000216490
613209	ENSG00000205883
27235	ENSG00000173085
27237	ENSG00000130762
6904	ENSG00000141556
27231	ENSG00000077009
27230	ENSG00000120742
