ID	Symbol	Description
ENSG00000251363	AL451071.1	
ENSG00000249163	AL121809.1	
ENSG00000186615	C14orf33	chromosome 14 open reading frame 33 [Source:HGNC Symbol;Acc:19842]
ENSG00000248550	AL162831.1	Otx2 opposite strand transcript 1 (OTX2OS1), non-coding RNA [Source:RefSeq DNA;Acc:NR_029385]
ENSG00000247287	AL359220.1	
ENSG00000250548	AL355916.2	
ENSG00000232774	AL355916.1	
ENSG00000245466	AL357153.3	
ENSG00000251393	AC005280.3	
ENSG00000246548	AC007686.1	
ENSG00000247694	AL136040.2	
ENSG00000247092	SNHG10	small nucleolar RNA host gene 10 (non-protein coding) [Source:HGNC Symbol;Acc:27510]
ENSG00000250366	AL133167.1	
ENSG00000246084	AL445885.1	
ENSG00000246223	C14orf64	chromosome 14 open reading frame 64 [Source:HGNC Symbol;Acc:20111]
ENSG00000247970	AL160313.1	
ENSG00000251533	AL161669.2	
ENSG00000246451	AL049840.2	
ENSG00000256050	AL583722.2	
ENSG00000251602	AL928654.1	
ENSG00000203586	AL391244.1	
ENSG00000245123	AL691432.1	
ENSG00000245549	AL137798.2	
ENSG00000256048	AL137798.3	
ENSG00000247296	AL451000.1	
ENSG00000245178	AL513497.1	
ENSG00000250809	AL596225.1	
ENSG00000246279	AL359540.1	
ENSG00000245332	AL031427.1	
ENSG00000244861	AC091609.1	
ENSG00000247275	AL160008.1	
ENSG00000250110	AL356735.1	
ENSG00000251057	AL390877.1	
ENSG00000246170	AL122007.1	
ENSG00000249788	AL049742.2	
ENSG00000251150	BX842679.1	
ENSG00000248003	AL356356.4	
ENSG00000247291	AL645568.1	
ENSG00000245778	AL359853.2	
ENSG00000247330	AL355999.1	
ENSG00000251335	AL353709.1	
ENSG00000247614	AC119673.1	
ENSG00000238060	AP002478.2	
ENSG00000245382	AC091588.1	
ENSG00000246302	AC022884.1	
ENSG00000249271	AC021224.1	
ENSG00000249862	AC016205.1	
ENSG00000248078	AC015959.1	
ENSG00000246990	AC022031.1	
ENSG00000249134	AC022724.1	
ENSG00000246923	AC114689.1	
ENSG00000248402	AC091305.1	
ENSG00000251565	AC079062.1	
ENSG00000206029	AC116904.1	
ENSG00000247544	AC034110.1	
ENSG00000247645	AC034110.2	
ENSG00000226924	AC139100.1	
ENSG00000247223	AL358976.1	
ENSG00000234656	AL589675.1	
ENSG00000204836	BX664615.1	
ENSG00000256208	AL353626.2	
ENSG00000203508	CR786580.1	
ENSG00000255999	AL591385.2	
ENSG00000255706	AC125634.1	
ENSG00000227003	AL591479.1	
ENSG00000244846	AL671309.1	
ENSG00000245608	AL354733.1	
ENSG00000249385	AL445670.1	
ENSG00000235953	AL353805.1	
ENSG00000250209	AL161791.1	
ENSG00000197486	AL691420.1	
ENSG00000248233	AL513122.1	
ENSG00000248142	AL359636.1	
ENSG00000248272	AL593851.1	
ENSG00000251337	AL355574.1	
ENSG00000246044	AL138781.1	
ENSG00000246129	CR392000.2	
ENSG00000244769	BX255925.2	
ENSG00000256529	BX255925.3	
ENSG00000244951	AL365502.1	
ENSG00000247061	AC005696.2	
ENSG00000249095	AC005323.1	
ENSG00000245153	AC005224.1	
ENSG00000248683	AC026271.1	
ENSG00000247185	SUZ12P	suppressor of zeste 12 homolog pseudogene [Source:HGNC Symbol;Acc:32421]
ENSG00000250288	AC138207.1	
ENSG00000246715	AC005899.1	
ENSG00000247843	AC022916.1	
ENSG00000245538	AC126327.1	
ENSG00000246393	AC008105.1	
ENSG00000255848	AC007326.1	
ENSG00000248786	AC000079.1	
ENSG00000240269	D87024.2	
ENSG00000250018	AC003963.1	
ENSG00000246634	AC068152.2	
ENSG00000247683	AC068234.1	
ENSG00000248304	AC103702.1	
ENSG00000248178	AL049757.1	
ENSG00000249208	AC007638.1	
ENSG00000247670	AL078611.1	
ENSG00000246806	AC015813.2	
ENSG00000249879	AL021392.1	
ENSG00000248043	AL671710.1	
ENSG00000247508	AC005702.2	
ENSG00000214000	AC068512.1	
ENSG00000247912	AC107377.1	
ENSG00000245411	AC080037.2	
ENSG00000247180	AC018665.1	
ENSG00000250233	AC015802.1	
ENSG00000250179	AC021683.2	
ENSG00000248706	AC100791.3	
ENSG00000255691	AC127496.4	
ENSG00000246747	AC139530.1	
ENSG00000247329	AC145207.1	
ENSG00000248630	AC132872.4	
ENSG00000245410	AC132872.3	
ENSG00000244773	AC132872.2	
ENSG00000245109	AC024361.1	
ENSG00000246979	AC009108.1	
ENSG00000206088	AC120498.2	
ENSG00000249402	AC108134.5	
ENSG00000245923	AC108134.4	
ENSG00000245388	AC009171.1	
ENSG00000248575	BCAR4	breast cancer anti-estrogen resistance 4 [Source:HGNC Symbol;Acc:22170]
ENSG00000246328	AC020926.1	
ENSG00000245927	AC005632.1	
ENSG00000245776	AC133552.1	
ENSG00000245888	AC106739.1	
ENSG00000251417	AC145285.2	
ENSG00000245192	AC109460.2	
ENSG00000246710	AC009133.2	
ENSG00000247735	AC120114.3	
ENSG00000250616	AC012645.1	
ENSG00000245600	AC002310.2	
ENSG00000235560	AC002310.1	
ENSG00000249093	AC135050.2	
ENSG00000249231	AC026462.2	
ENSG00000245694	CRNDE	colorectal neoplasia differentially expressed (non-protein coding) [Source:HGNC Symbol;Acc:37078]
ENSG00000246379	AC007495.1	
ENSG00000245768	AC092378.1	
ENSG00000246898	AC132186.1	
ENSG00000246777	AC044802.1	
ENSG00000247228	AC009060.1	
ENSG00000247324	AC010547.1	
ENSG00000247033	AC099508.1	
ENSG00000203472	AC009163.1	
ENSG00000250514	AC108125.1	
ENSG00000245059	AC092718.2	
ENSG00000248782	AC026469.1	
ENSG00000251607	AC092275.1	
ENSG00000248463	AC040170.1	
ENSG00000232190	AC106745.1	
ENSG00000248168	AC138028.2	
ENSG00000256982	AC135782.1	
ENSG00000245196	AC092123.1	
ENSG00000249622	AC116351.3	
ENSG00000249556	AC010627.1	
ENSG00000250552	AC139495.1	
ENSG00000245338	AC034207.1	
ENSG00000257082	AC137549.1	
ENSG00000248017	AC026449.1	
ENSG00000246581	AC005753.1	
ENSG00000248255	AC126775.1	
ENSG00000247006	AC106731.1	
ENSG00000248342	AC145098.1	
ENSG00000255684	AC136940.1	
ENSG00000248595	AC104117.1	
ENSG00000249705	AC022413.1	
ENSG00000256497	AL139125.1	
ENSG00000248743	AL590365.1	
ENSG00000246675	AL512641.1	
ENSG00000246873	AL160287.1	
ENSG00000239604	AC024597.1	
ENSG00000246025	AL355344.1	
ENSG00000248253	AC022389.1	
ENSG00000256759	AL161652.2	
ENSG00000248959	AC010789.1	
ENSG00000245773	AL121928.1	
ENSG00000244967	AL360001.1	
ENSG00000256413	AL390763.1	
ENSG00000244919	AL139123.1	
ENSG00000246532	AP006284.1	
ENSG00000256000	AC127526.2	
ENSG00000246343	AC103681.1	
ENSG00000256848	AP003716.1	
ENSG00000247484	AC004923.1	
ENSG00000250508	AP000808.1	
ENSG00000256508	AP003071.1	
ENSG00000256523	AP002008.1	microRNA 34c (MIR34C), microRNA [Source:RefSeq DNA;Acc:NR_029840]
ENSG00000247445	AP001318.3	
ENSG00000255658	AP003486.1	
ENSG00000211897	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker) [Source:HGNC Symbol;Acc:5527]
ENSG00000211898	IGHD	immunoglobulin heavy constant delta [Source:HGNC Symbol;Acc:5480]
ENSG00000211899	IGHM	immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:5541]
ENSG00000211900	IGHJ6	immunoglobulin heavy joining 6 [Source:HGNC Symbol;Acc:5540]
ENSG00000237111	IGHJ3P	immunoglobulin heavy joining 3P pseudogene [Source:HGNC Symbol;Acc:5537]
ENSG00000242472	IGHJ5	immunoglobulin heavy joining 5 [Source:HGNC Symbol;Acc:5539]
ENSG00000240041	IGHJ4	immunoglobulin heavy joining 4 [Source:HGNC Symbol;Acc:5538]
ENSG00000242887	IGHJ3	immunoglobulin heavy joining 3 [Source:HGNC Symbol;Acc:5536]
ENSG00000237547	IGHJ2P	immunoglobulin heavy joining 2P pseudogene [Source:HGNC Symbol;Acc:5535]
ENSG00000211904	IGHJ2	immunoglobulin heavy joining 2 [Source:HGNC Symbol;Acc:5534]
ENSG00000211905	IGHJ1	immunoglobulin heavy joining 1 [Source:HGNC Symbol;Acc:5532]
ENSG00000236597	IGHD7-27	immunoglobulin heavy diversity 7-27 [Source:HGNC Symbol;Acc:5518]
ENSG00000227335	IGHJ1P	immunoglobulin heavy joining 1P pseudogene [Source:HGNC Symbol;Acc:5533]
ENSG00000211907	IGHD1-26	immunoglobulin heavy diversity 1-26 [Source:HGNC Symbol;Acc:5485]
ENSG00000225825	IGHD6-25	immunoglobulin heavy diversity 6-25 [Source:HGNC Symbol;Acc:5516]
ENSG00000211909	IGHD5-24	immunoglobulin heavy diversity 5-24 (non-functional) [Source:HGNC Symbol;Acc:5510]
ENSG00000227196	IGHD4-23	immunoglobulin heavy diversity 4-23 (non-functional) [Source:HGNC Symbol;Acc:5504]
ENSG00000211911	IGHD3-22	immunoglobulin heavy diversity 3-22 [Source:HGNC Symbol;Acc:5497]
ENSG00000211912	IGHD2-21	immunoglobulin heavy diversity 2-21 [Source:HGNC Symbol;Acc:5491]
ENSG00000237020	IGHD1-20	immunoglobulin heavy diversity 1-20 [Source:HGNC Symbol;Acc:5484]
ENSG00000211914	IGHD6-19	immunoglobulin heavy diversity 6-19 [Source:HGNC Symbol;Acc:5515]
ENSG00000211915	IGHD5-18	immunoglobulin heavy diversity 5-18 [Source:HGNC Symbol;Acc:5509]
ENSG00000227800	IGHD4-17	immunoglobulin heavy diversity 4-17 [Source:HGNC Symbol;Acc:5503]
ENSG00000211917	IGHD3-16	immunoglobulin heavy diversity 3-16 [Source:HGNC Symbol;Acc:5496]
ENSG00000211918	IGHD2-15	immunoglobulin heavy diversity 2-15 [Source:HGNC Symbol;Acc:5489]
ENSG00000227108	IGHD1-14	immunoglobulin heavy diversity 1-14 (non-functional) [Source:HGNC Symbol;Acc:5483]
ENSG00000211920	IGHD6-13	immunoglobulin heavy diversity 6-13 [Source:HGNC Symbol;Acc:5514]
ENSG00000211921	IGHD5-12	immunoglobulin heavy diversity 5-12 [Source:HGNC Symbol;Acc:5508]
ENSG00000232543	IGHD4-11	immunoglobulin heavy diversity 4-11 (non-functional) [Source:HGNC Symbol;Acc:5502]
ENSG00000211923	IGHD3-10	immunoglobulin heavy diversity 3-10 [Source:HGNC Symbol;Acc:5495]
ENSG00000211924	IGHD3-9	immunoglobulin heavy diversity 3-9 [Source:HGNC Symbol;Acc:5499]
ENSG00000211925	IGHD2-8	immunoglobulin heavy diversity 2-8 [Source:HGNC Symbol;Acc:5492]
ENSG00000237197	IGHD1-7	immunoglobulin heavy diversity 1-7 [Source:HGNC Symbol;Acc:5486]
ENSG00000228131	IGHD6-6	immunoglobulin heavy diversity 6-6 [Source:HGNC Symbol;Acc:5517]
ENSG00000211928	IGHD5-5	immunoglobulin heavy diversity 5-5 [Source:HGNC Symbol;Acc:5511]
ENSG00000233655	IGHD4-4	immunoglobulin heavy diversity 4-4 [Source:HGNC Symbol;Acc:5505]
ENSG00000211930	IGHD3-3	immunoglobulin heavy diversity 3-3 [Source:HGNC Symbol;Acc:5498]
ENSG00000211931	IGHD2-2	immunoglobulin heavy diversity 2-2 [Source:HGNC Symbol;Acc:5490]
ENSG00000236170	IGHD1-1	immunoglobulin heavy diversity 1-1 [Source:HGNC Symbol;Acc:5482]
ENSG00000211933	IGHV6-1	immunoglobulin heavy variable 6-1 [Source:HGNC Symbol;Acc:5662]
ENSG00000254279	IGHVII-1-1	immunoglobulin heavy variable (II)-1-1 pseudogene [Source:HGNC Symbol;Acc:5670]
ENSG00000211934	IGHV1-2	immunoglobulin heavy variable 1-2 [Source:HGNC Symbol;Acc:5550]
ENSG00000253780	IGHVIII-2-1	immunoglobulin heavy variable (III)-2-1 pseudogene [Source:HGNC Symbol;Acc:5695]
ENSG00000211935	IGHV1-3	immunoglobulin heavy variable 1-3 [Source:HGNC Symbol;Acc:5552]
ENSG00000211936	IGHV4-4	immunoglobulin heavy variable 4-4 [Source:HGNC Symbol;Acc:5652]
ENSG00000211937	IGHV2-5	immunoglobulin heavy variable 2-5 [Source:HGNC Symbol;Acc:5576]
ENSG00000253387	IGHVIII-5-1	immunoglobulin heavy variable (III)-5-1 pseudogene [Source:HGNC Symbol;Acc:5702]
ENSG00000254053	IGHVIII-5-2	immunoglobulin heavy variable (III)-5-2 pseudogene [Source:HGNC Symbol;Acc:5703]
ENSG00000253763	IGHV3-6	immunoglobulin heavy variable 3-6 pseudogene [Source:HGNC Symbol;Acc:5613]
ENSG00000211938	IGHV3-7	immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:5620]
ENSG00000211939	IGHV1-8	immunoglobulin heavy variable 1-8 [Source:HGNC Symbol;Acc:5559]
ENSG00000211940	IGHV3-9	immunoglobulin heavy variable 3-9 [Source:HGNC Symbol;Acc:5628]
ENSG00000254117	IGHV2-10	immunoglobulin heavy variable 2-10 pseudogene [Source:HGNC Symbol;Acc:5574]
ENSG00000211941	IGHV3-11	immunoglobulin heavy variable 3-11 (gene/pseudogene) [Source:HGNC Symbol;Acc:5580]
ENSG00000254215	IGHVIII-11-1	immunoglobulin heavy variable (III)-11-1 pseudogene [Source:HGNC Symbol;Acc:5692]
ENSG00000254174	IGHV1-12	immunoglobulin heavy variable 1-12 pseudogene [Source:HGNC Symbol;Acc:5546]
ENSG00000211942	IGHV3-13	immunoglobulin heavy variable 3-13 [Source:HGNC Symbol;Acc:5581]
ENSG00000253412	IGHVIII-13-1	immunoglobulin heavy variable (III)-13-1 pseudogene [Source:HGNC Symbol;Acc:5693]
ENSG00000253709	IGHV1-14	immunoglobulin heavy variable 1-14 pseudogene [Source:HGNC Symbol;Acc:5547]
ENSG00000211943	IGHV3-15	immunoglobulin heavy variable 3-15 [Source:HGNC Symbol;Acc:5582]
ENSG00000253458	IGHVII-15-1	immunoglobulin heavy variable (II)-15-1 pseudogene [Source:HGNC Symbol;Acc:5671]
ENSG00000211944	IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional) [Source:HGNC Symbol;Acc:5583]
ENSG00000254210	IGHVIII-16-1	immunoglobulin heavy variable (III)-16-1 pseudogene [Source:HGNC Symbol;Acc:5694]
ENSG00000254046	IGHV1-17	immunoglobulin heavy variable 1-17 pseudogene [Source:HGNC Symbol;Acc:5548]
ENSG00000211945	IGHV1-18	immunoglobulin heavy variable 1-18 [Source:HGNC Symbol;Acc:5549]
ENSG00000253883	IGHV3-19	immunoglobulin heavy variable 3-19 pseudogene [Source:HGNC Symbol;Acc:5584]
ENSG00000211946	IGHV3-20	immunoglobulin heavy variable 3-20 [Source:HGNC Symbol;Acc:5585]
ENSG00000253996	IGHVII-20-1	immunoglobulin heavy variable (II)-20-1 pseudogene [Source:HGNC Symbol;Acc:5672]
ENSG00000211947	IGHV3-21	immunoglobulin heavy variable 3-21 [Source:HGNC Symbol;Acc:5586]
ENSG00000253957	IGHV3-22	immunoglobulin heavy variable 3-22 pseudogene [Source:HGNC Symbol;Acc:5587]
ENSG00000253345	IGHVII-22-1	immunoglobulin heavy variable (II)-22-1 pseudogene [Source:HGNC Symbol;Acc:5673]
ENSG00000254045	IGHVIII-22-2	immunoglobulin heavy variable (III)-22-2 pseudogene [Source:HGNC Symbol;Acc:5696]
ENSG00000211949	IGHV3-23	immunoglobulin heavy variable 3-23 [Source:HGNC Symbol;Acc:5588]
ENSG00000211950	IGHV1-24	immunoglobulin heavy variable 1-24 [Source:HGNC Symbol;Acc:5551]
ENSG00000253441	IGHV3-25	immunoglobulin heavy variable 3-25 pseudogene [Source:HGNC Symbol;Acc:5589]
ENSG00000253367	IGHVIII-25-1	immunoglobulin heavy variable (III)-25-1 pseudogene [Source:HGNC Symbol;Acc:5697]
ENSG00000211951	IGHV2-26	immunoglobulin heavy variable 2-26 [Source:HGNC Symbol;Acc:5575]
ENSG00000253462	IGHVIII-26-1	immunoglobulin heavy variable (III)-26-1 pseudogene [Source:HGNC Symbol;Acc:5698]
ENSG00000253482	IGHVII-26-2	immunoglobulin heavy variable (II)-26-2 pseudogene [Source:HGNC Symbol;Acc:5674]
ENSG00000254326	IGHV7-27	immunoglobulin heavy variable 7-27 pseudogene [Source:HGNC Symbol;Acc:5663]
ENSG00000211952	IGHV4-28	immunoglobulin heavy variable 4-28 [Source:HGNC Symbol;Acc:5645]
ENSG00000254214	IGHVII-28-1	immunoglobulin heavy variable (II)-28-1 pseudogene [Source:HGNC Symbol;Acc:5675]
ENSG00000253464	IGHV3-29	immunoglobulin heavy variable 3-29 pseudogene [Source:HGNC Symbol;Acc:5590]
ENSG00000211953	IGHV3-30	immunoglobulin heavy variable 3-30 [Source:HGNC Symbol;Acc:5591]
ENSG00000253491	IGHVII-30-1	immunoglobulin heavy variable (II)-30-1 pseudogene [Source:HGNC Symbol;Acc:5676]
ENSG00000253587	IGHV3-30-2	immunoglobulin heavy variable 3-30-2 pseudogene [Source:HGNC Symbol;Acc:5592]
ENSG00000231475	IGHV4-31	immunoglobulin heavy variable 4-31 [Source:HGNC Symbol;Acc:5649]
ENSG00000253149	IGHVII-31-1	immunoglobulin heavy variable (II)-31-1 pseudogene [Source:HGNC Symbol;Acc:5677]
ENSG00000254289	IGHV3-32	immunoglobulin heavy variable 3-32 pseudogene [Source:HGNC Symbol;Acc:5595]
ENSG00000211955	IGHV3-33	immunoglobulin heavy variable 3-33 [Source:HGNC Symbol;Acc:5596]
ENSG00000254203	IGHVII-33-1	immunoglobulin heavy variable (II)-33-1 pseudogene [Source:HGNC Symbol;Acc:5678]
ENSG00000253440	IGHV3-33-2	immunoglobulin heavy variable 3-33-2 pseudogene [Source:HGNC Symbol;Acc:5597]
ENSG00000211956	IGHV4-34	immunoglobulin heavy variable 4-34 [Source:HGNC Symbol;Acc:5650]
ENSG00000253325	IGHV7-34-1	immunoglobulin heavy variable 7-34-1 pseudogene [Source:HGNC Symbol;Acc:5664]
ENSG00000211957	IGHV3-35	immunoglobulin heavy variable 3-35 (non-functional) [Source:HGNC Symbol;Acc:5598]
ENSG00000253240	IGHV3-36	immunoglobulin heavy variable 3-36 pseudogene [Source:HGNC Symbol;Acc:5599]
ENSG00000253359	IGHV3-37	immunoglobulin heavy variable 3-37 pseudogene [Source:HGNC Symbol;Acc:5600]
ENSG00000211958	IGHV3-38	immunoglobulin heavy variable 3-38 (non-functional) [Source:HGNC Symbol;Acc:5601]
ENSG00000253989	IGHVIII-38-1	immunoglobulin heavy variable (III)-38-1 pseudogene [Source:HGNC Symbol;Acc:5699]
ENSG00000211959	IGHV4-39	immunoglobulin heavy variable 4-39 [Source:HGNC Symbol;Acc:5651]
ENSG00000253467	IGHV7-40	immunoglobulin heavy variable 7-40 pseudogene [Source:HGNC Symbol;Acc:5666]
ENSG00000253294	IGHVII-40-1	immunoglobulin heavy variable (II)-40-1 pseudogene [Source:HGNC Symbol;Acc:5679]
ENSG00000253705	IGHV3-41	immunoglobulin heavy variable 3-41 pseudogene [Source:HGNC Symbol;Acc:5602]
ENSG00000254228	IGHV3-42	immunoglobulin heavy variable 3-42 pseudogene [Source:HGNC Symbol;Acc:5603]
ENSG00000232216	IGHV3-43	immunoglobulin heavy variable 3-43 [Source:HGNC Symbol;Acc:5604]
ENSG00000253597	IGHVII-43-1	immunoglobulin heavy variable (II)-43-1 pseudogene [Source:HGNC Symbol;Acc:5680]
ENSG00000253588	IGHVIII-44	immunoglobulin heavy variable (III)-44 pseudogene [Source:HGNC Symbol;Acc:5700]
ENSG00000253465	IGHVIV-44-1	immunoglobulin heavy variable (IV)-44-1 pseudogene [Source:HGNC Symbol;Acc:5710]
ENSG00000253895	IGHVII-44-2	immunoglobulin heavy variable (II)-44-2 pseudogene [Source:HGNC Symbol;Acc:5681]
ENSG00000211961	IGHV1-45	immunoglobulin heavy variable 1-45 [Source:HGNC Symbol;Acc:5553]
ENSG00000211962	IGHV1-46	immunoglobulin heavy variable 1-46 [Source:HGNC Symbol;Acc:5554]
ENSG00000253808	IGHVII-46-1	immunoglobulin heavy variable (II)-46-1 pseudogene [Source:HGNC Symbol;Acc:5682]
ENSG00000229092	IGHV3-47	immunoglobulin heavy variable 3-47 pseudogene [Source:HGNC Symbol;Acc:5605]
ENSG00000253862	IGHVIII-47-1	immunoglobulin heavy variable (III)-47-1 pseudogene [Source:HGNC Symbol;Acc:5701]
ENSG00000211964	IGHV3-48	immunoglobulin heavy variable 3-48 [Source:HGNC Symbol;Acc:5606]
ENSG00000211965	IGHV3-49	immunoglobulin heavy variable 3-49 [Source:HGNC Symbol;Acc:5607]
ENSG00000253386	IGHVII-49-1	immunoglobulin heavy variable (II)-49-1 pseudogene [Source:HGNC Symbol;Acc:5683]
ENSG00000253241	IGHV3-50	immunoglobulin heavy variable 3-50 pseudogene [Source:HGNC Symbol;Acc:5608]
ENSG00000211966	IGHV5-51	immunoglobulin heavy variable 5-51 [Source:HGNC Symbol;Acc:5659]
ENSG00000225520	TTTY16	testis-specific transcript, Y-linked 16 (non-protein coding) [Source:HGNC Symbol;Acc:18840]
ENSG00000241916	RFTN1P1	raftlin, lipid raft linker 1 pseudogene 1 [Source:HGNC Symbol;Acc:23971]
ENSG00000254167	IGHVIII-51-1	immunoglobulin heavy variable (III)-51-1 pseudogene [Source:HGNC Symbol;Acc:5704]
ENSG00000253941	IGHVII-51-2	immunoglobulin heavy variable (II)-51-2 pseudogene [Source:HGNC Symbol;Acc:5684]
ENSG00000233241	AL645935.8	
ENSG00000253545	IGHV3-52	immunoglobulin heavy variable 3-52 pseudogene [Source:HGNC Symbol;Acc:5609]
ENSG00000235223	TMPOP1	thymopoietin pseudogene 1 [Source:HGNC Symbol;Acc:21364]
ENSG00000211967	IGHV3-53	immunoglobulin heavy variable 3-53 [Source:HGNC Symbol;Acc:5610]
ENSG00000231998	AL645935.5	
ENSG00000227956	HCG4P6	HLA complex group 4 pseudogene 6 [Source:HGNC Symbol;Acc:22919]
ENSG00000253714	IGHVII-53-1	immunoglobulin heavy variable (II)-53-1 pseudogene [Source:HGNC Symbol;Acc:5685]
ENSG00000234795	AC007275.2	
ENSG00000253689	IGHV3-54	immunoglobulin heavy variable 3-54 pseudogene [Source:HGNC Symbol;Acc:5611]
ENSG00000223693	AL844213.2	
ENSG00000254395	IGHV4-55	immunoglobulin heavy variable 4-55 pseudogene [Source:HGNC Symbol;Acc:5653]
ENSG00000232331	AL645935.7	
ENSG00000253131	IGHV7-56	immunoglobulin heavy variable 7-56 pseudogene [Source:HGNC Symbol;Acc:5667]
ENSG00000253759	IGHV3-57	immunoglobulin heavy variable 3-57 pseudogene [Source:HGNC Symbol;Acc:5612]
ENSG00000227435	CR752645.2	
ENSG00000211968	IGHV1-58	immunoglobulin heavy variable 1-58 [Source:HGNC Symbol;Acc:5555]
ENSG00000237048	TTTY12	testis-specific transcript, Y-linked 12 (non-protein coding) [Source:HGNC Symbol;Acc:18493]
